Date,time+UL_Mbps+DL_Mbps
7.00+4.98
2024/03/21, 12:04:47+2.14+1.80
2024/03/21, 12:05:09+1.95+1.29
2024/03/21, 12:05:31+5.60+4.98
2024/03/21, 12:05:52+5.50+3.50
2024/03/21, 12:06:14+5.36+4.08
2024/03/21, 12:06:36+3.93+2.85
2024/03/21, 12:06:58+6.21+5.55
2024/03/21, 12:07:20+9.00+7.07
2024/03/21, 12:07:41+8.03+6.71
2024/03/21, 12:08:03+27.8+25.3
2024/03/21, 12:08:24+29.3+26.7
2024/03/21, 12:08:45+22.4+19.7
2024/03/21, 12:09:06+12.5+10.4
2024/03/21, 12:09:27+16.3+14.0
2024/03/21, 12:09:49+14.3+11.8
2024/03/21, 12:10:10+13.8+11.6
2024/03/21, 12:10:32+31.8+29.1
2024/03/21, 12:10:53+33.2+30.3
2024/03/21, 12:11:14+31.8+29.2
2024/03/21, 12:11:35+24.1+21.2
2024/03/21, 12:11:57+34.9+32.2
2024/03/21, 12:12:18+21.2+18.7
2024/03/21, 12:12:39+28.7+25.8
2024/03/21, 12:13:00+28.9+26.1
2024/03/21, 12:13:21+26.9+24.2
2024/03/21, 12:13:42+31.5+28.6
2024/03/21, 12:14:03+29.8+26.8
2024/03/21, 12:14:25+38.1+35.4
2024/03/21, 12:14:46+29.8+26.9
2024/03/21, 12:15:07+19.4+17.2
2024/03/21, 12:15:28+3.78+2.82
2024/03/21, 12:15:49+3.43+2.92
2024/03/21, 12:16:11+ 796+ 626
2024/03/21, 12:16:32+ 794+ 619
2024/03/21, 12:16:54+ 694+ 541
2024/03/21, 12:17:15+ 444+ 261
2024/03/21, 12:17:36+.00 +mina
