Date,Time,UL,DL
2025/Sep/04,22:47:45,5.1,12.1
2025/Sep/04,22:50:02,13.6,11.5
2025/Sep/04,22:50:05,3.06,14.9
2025/Sep/04,22:50:08,9.09,14.4
2025/Sep/04,22:50:12,2.95,16.4
2025/Sep/04,22:50:15,4.45,7.31
2025/Sep/04,22:50:18,6.64,18.4
2025/Sep/04,22:50:21,3.91,19.5
2025/Sep/04,22:50:24,3.07,38.4
2025/Sep/04,22:50:27,5.79,7.81
2025/Sep/04,22:50:30,3.67,17.8
2025/Sep/04,22:50:34,3.04,14.6
2025/Sep/04,22:50:37,5.1,10.4
2025/Sep/04,22:50:40,8.44,10.1
2025/Sep/04,22:50:43,11.1,14.4
2025/Sep/04,22:50:46,3.78,11.8
2025/Sep/04,22:50:49,7.79,12.2
2025/Sep/04,22:50:52,4.89,9.43
2025/Sep/04,22:50:56,4.34,12.3
2025/Sep/04,22:50:59,5.58,14.6
2025/Sep/04,22:51:02,9.55,9.64
2025/Sep/04,22:51:05,6.57,16.0
2025/Sep/04,22:51:08,4.44,10.0
2025/Sep/04,22:51:11,5.7,9.45
2025/Sep/04,22:51:14,14.4,13.5
2025/Sep/04,22:51:17,3.67,9.55
2025/Sep/04,22:51:21,3.78,12.1
2025/Sep/04,22:51:22,5.45,11.4
2025/Sep/04,22:51:26,8.06,21.1
2025/Sep/04,22:51:29,3.68,23.3
2025/Sep/04,22:51:32,10.6,9.5
2025/Sep/04,22:51:33,11.9,22.3
2025/Sep/04,22:51:37,16.4,15.3
2025/Sep/04,22:51:41,3.6,17.7
2025/Sep/04,22:51:44,9.62,9.05
2025/Sep/04,22:51:47,3.69,16.8
2025/Sep/04,22:51:50,14.5,13.8
2025/Sep/04,22:51:53,6.78,9.08
2025/Sep/04,22:51:56,4.28,8.3
2025/Sep/04,22:51:59,13.7,25.2
2025/Sep/04,22:52:02,5.95,17.5
2025/Sep/04,22:52:04,6.54,10.1
2025/Sep/04,22:52:07,3.88,15.3
2025/Sep/04,22:52:11,4.36,12.8
2025/Sep/04,22:52:14,3.65,12.3
2025/Sep/04,22:52:17,5.04,18.8
2025/Sep/04,22:52:20,2.55,39.8
2025/Sep/04,22:52:23,5.12,9.41
2025/Sep/04,22:52:26,2.18,42.4
2025/Sep/04,22:52:29,3.87,12.0
2025/Sep/04,22:52:32,10.4,12.5
2025/Sep/04,22:52:36,4.06,10.4
2025/Sep/04,22:52:39,4.51,12.7
2025/Sep/04,22:52:40,5.12,8.96
2025/Sep/04,22:52:44,4.05,25.7
2025/Sep/04,22:52:47,4.38,20.1
2025/Sep/04,22:52:50,8.03,9.32
2025/Sep/04,22:52:53,3.85,19.2
2025/Sep/04,22:52:54,4.38,10.8
2025/Sep/04,22:52:58,5.89,17.8
