Date,Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Sep/04,22:22:05,100.676,1,2
2025/Sep/04,22:22:06,N/A,1,0
2025/Sep/04,22:22:08,N/A,1,0
2025/Sep/04,22:22:09,N/A,1,0
2025/Sep/04,22:22:10,N/A,1,0
2025/Sep/04,22:22:11,N/A,1,0
2025/Sep/04,22:22:12,N/A,1,0
2025/Sep/04,22:22:13,N/A,1,0
2025/Sep/04,22:22:14,N/A,1,0
2025/Sep/04,22:22:15,N/A,1,0
2025/Sep/04,22:22:16,N/A,1,0
2025/Sep/04,22:22:17,N/A,1,0
2025/Sep/04,22:22:19,N/A,1,0
2025/Sep/04,22:22:20,N/A,1,0
2025/Sep/04,22:22:21,N/A,1,0
2025/Sep/04,22:22:22,N/A,1,0
2025/Sep/04,22:22:23,N/A,1,0
2025/Sep/04,22:22:24,N/A,1,0
2025/Sep/04,22:22:25,N/A,1,0
2025/Sep/04,22:22:26,N/A,1,0
2025/Sep/04,22:22:27,N/A,1,0
2025/Sep/04,22:22:28,N/A,1,0
2025/Sep/04,22:22:29,N/A,1,0
2025/Sep/04,22:22:31,N/A,1,0
2025/Sep/04,22:22:32,N/A,1,0
2025/Sep/04,22:22:33,N/A,1,0
2025/Sep/04,22:22:34,N/A,1,0
2025/Sep/04,22:22:35,N/A,1,0
2025/Sep/04,22:22:36,N/A,1,0
2025/Sep/04,22:22:37,N/A,1,0
2025/Sep/04,22:22:38,N/A,1,0
2025/Sep/04,22:22:39,N/A,1,0
2025/Sep/04,22:22:40,N/A,1,0
2025/Sep/04,22:22:41,N/A,1,0
2025/Sep/04,22:22:43,N/A,1,0
2025/Sep/04,22:22:44,N/A,1,0
2025/Sep/04,22:22:45,N/A,1,0
2025/Sep/04,22:22:46,N/A,1,0
2025/Sep/04,22:22:47,N/A,1,0
2025/Sep/04,22:22:48,N/A,1,0
2025/Sep/04,22:22:49,N/A,1,0
2025/Sep/04,22:22:50,N/A,1,0
