Date,Time,UL,DL
2025/Sep/17,19:54:34,12.8,37.4
2025/Sep/17,19:54:37,11.9,28.8
2025/Sep/17,19:54:40,10.0,41.2
2025/Sep/17,19:54:42,14.7,34.3
2025/Sep/17,19:54:45,13.1,33.7
2025/Sep/17,19:54:47,16.0,67.2
2025/Sep/17,19:54:50,10.3,86.9
2025/Sep/17,19:54:52,13.6,48.9
2025/Sep/17,19:54:55,8.18,59.2
2025/Sep/17,19:54:57,10.3,38.1
2025/Sep/17,19:55:00,13.9,43.3
2025/Sep/17,19:55:03,9.58,55.8
2025/Sep/17,19:55:05,12.3,71.3
2025/Sep/17,19:55:08,10.2,43.4
2025/Sep/17,19:55:10,10.2,38.0
2025/Sep/17,19:55:13,9.72,40.0
2025/Sep/17,19:55:15,12.9,16.6
2025/Sep/17,19:55:18,10.0,26.4
2025/Sep/17,19:55:21,15.0,34.3
2025/Sep/17,19:55:23,12.6,32.1
2025/Sep/17,19:55:26,15.2,31.8
2025/Sep/17,19:55:28,14.2,39.9
2025/Sep/17,19:55:31,12.5,75.7
2025/Sep/17,19:55:33,26.2,67.0
2025/Sep/17,19:55:36,17.2,27.2
2025/Sep/17,19:55:39,12.7,28.4
2025/Sep/17,19:55:41,8.69,20.5
2025/Sep/17,19:55:44,10.2,34.7
2025/Sep/17,19:55:46,11.4,27.8
2025/Sep/17,19:55:49,11.7,26.3
2025/Sep/17,19:55:51,10.7,31.1
2025/Sep/17,19:55:54,8.33,29.0
2025/Sep/17,19:55:57,8.34,32.0
2025/Sep/17,19:56:00,9.88,31.5
2025/Sep/17,19:56:03,9.6,29.6
2025/Sep/17,19:56:05,11.3,20.5
2025/Sep/17,19:56:08,8.1,17.3
2025/Sep/17,19:56:10,7.25,33.8
2025/Sep/17,19:56:13,10.5,31.1
2025/Sep/17,19:56:16,3.2,46.0
2025/Sep/17,19:56:18,10.5,47.5
2025/Sep/17,19:56:21,6.68,30.4
2025/Sep/17,19:56:24,6.63,15.7
2025/Sep/17,19:56:26,18.0,56.7
2025/Sep/17,19:56:29,14.1,52.6
2025/Sep/17,19:56:31,10.5,61.5
2025/Sep/17,19:56:34,11.8,69.6
2025/Sep/17,19:56:36,9.99,67.1
2025/Sep/17,19:56:39,14.4,86.0
2025/Sep/17,19:56:41,12.4,39.6
2025/Sep/17,19:56:44,16.2,66.9
2025/Sep/17,19:56:46,18.4,56.5
2025/Sep/17,19:56:49,10.7,82.6
2025/Sep/17,19:56:51,16.2,32.3
2025/Sep/17,19:56:54,6.61,36.9
2025/Sep/17,19:56:57,9.13,103.0
2025/Sep/17,19:57:01,9.67,21.8
2025/Sep/17,19:57:04,11.7,22.3
2025/Sep/17,19:57:06,15.7,63.4
2025/Sep/17,19:57:09,1.6,5.84
2025/Sep/17,19:57:11,4.65,10.9
2025/Sep/17,19:57:14,4.73,16.1
2025/Sep/17,19:57:16,4.48,20.2
2025/Sep/17,19:57:19,7.53,25.9
2025/Sep/17,19:57:21,10.2,15.9
2025/Sep/17,19:57:24,7.28,16.0
2025/Sep/17,19:57:26,8.91,19.8
2025/Sep/17,19:57:29,9.39,63.7
2025/Sep/17,19:57:32,8.11,68.2
2025/Sep/17,19:57:35,12.1,28.5
2025/Sep/17,19:57:37,11.1,39.9
2025/Sep/17,19:57:40,12.0,63.1
2025/Sep/17,19:57:43,9.37,55.6
2025/Sep/17,19:57:45,12.9,34.5
2025/Sep/17,19:57:48,12.1,35.6
2025/Sep/17,19:57:51,11.3,31.8
2025/Sep/17,19:57:53,7.93,29.7
2025/Sep/17,19:57:56,6.62,24.0
2025/Sep/17,19:57:58,6.1,24.7
2025/Sep/17,19:58:01,5.58,31.6
2025/Sep/17,19:58:03,8.02,31.8
2025/Sep/17,19:58:06,6.77,55.4
2025/Sep/17,19:58:09,16.8,3.89
2025/Sep/17,19:58:11,10.1,17.0
2025/Sep/17,19:58:15,7.42,16.4
2025/Sep/17,19:58:18,8.73,17.6
2025/Sep/17,19:58:22,18.6,18.4
2025/Sep/17,19:58:25,8.12,39.8
2025/Sep/17,19:58:27,18.1,24.5
2025/Sep/17,19:58:30,12.1,51.7
2025/Sep/17,19:58:32,13.7,34.3
2025/Sep/17,19:58:35,17.1,39.8
2025/Sep/17,19:58:37,9.2,73.8
2025/Sep/17,19:58:40,10.8,38.6
2025/Sep/17,19:58:42,13.1,54.9
2025/Sep/17,19:58:45,9.62,23.9
2025/Sep/17,19:58:47,8.68,61.0
2025/Sep/17,19:58:50,12.6,22.8
2025/Sep/17,19:58:52,21.8,39.8
2025/Sep/17,19:58:55,6.55,36.1
2025/Sep/17,19:58:58,8.42,61.6
2025/Sep/17,19:59:00,11.1,39.3
2025/Sep/17,19:59:03,11.5,38.6
2025/Sep/17,19:59:05,11.5,22.0
2025/Sep/17,19:59:08,9.95,22.2
2025/Sep/17,19:59:11,9.37,28.9
2025/Sep/17,19:59:13,10.5,27.6
2025/Sep/17,19:59:16,9.35,23.6
2025/Sep/17,19:59:18,12.6,22.6
2025/Sep/17,19:59:21,10.6,53.0
2025/Sep/17,19:59:23,12.6,27.1
2025/Sep/17,19:59:26,8.44,53.8
2025/Sep/17,19:59:28,10.4,28.3
2025/Sep/17,19:59:31,13.4,29.9
2025/Sep/17,19:59:33,9.65,27.6
2025/Sep/17,19:59:36,12.0,45.2
2025/Sep/17,19:59:39,7.15,33.6
2025/Sep/17,19:59:41,10.1,31.9
2025/Sep/17,19:59:44,6.79,33.3
2025/Sep/17,19:59:46,10.7,25.8
2025/Sep/17,19:59:49,10.0,37.8
