Date,Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Sep/17,19:54:35,54.719,1,1
2025/Sep/17,19:54:36,35.121,1,1
2025/Sep/17,19:54:38,30.144,1,1
2025/Sep/17,19:54:39,32.480,1,1
2025/Sep/17,19:54:40,38.156,1,1
2025/Sep/17,19:54:41,30.168,1,1
2025/Sep/17,19:54:42,N/A,1,0
2025/Sep/17,19:54:43,29.891,1,1
2025/Sep/17,19:54:44,42.949,1,1
2025/Sep/17,19:54:45,37.475,1,1
2025/Sep/17,19:54:46,39.149,1,1
2025/Sep/17,19:54:47,34.258,1,1
2025/Sep/17,19:54:49,33.589,1,1
2025/Sep/17,19:54:50,36.972,1,1
2025/Sep/17,19:54:51,34.274,1,1
2025/Sep/17,19:54:52,34.501,1,1
2025/Sep/17,19:54:53,37.861,1,1
2025/Sep/17,19:54:54,34.024,1,1
2025/Sep/17,19:54:55,32.624,1,1
2025/Sep/17,19:54:56,37.387,1,1
2025/Sep/17,19:54:57,34.348,1,1
2025/Sep/17,19:54:58,42.210,1,1
2025/Sep/17,19:54:59,35.665,1,1
2025/Sep/17,19:55:00,33.653,1,1
2025/Sep/17,19:55:02,43.591,1,1
2025/Sep/17,19:55:03,39.400,1,1
2025/Sep/17,19:55:04,34.635,1,1
2025/Sep/17,19:55:05,35.755,1,1
2025/Sep/17,19:55:06,34.472,1,1
2025/Sep/17,19:55:07,36.327,1,1
2025/Sep/17,19:55:08,39.896,1,1
2025/Sep/17,19:55:09,34.428,1,1
2025/Sep/17,19:55:10,34.968,1,1
2025/Sep/17,19:55:11,35.321,1,1
2025/Sep/17,19:55:12,36.412,1,1
2025/Sep/17,19:55:13,32.872,1,1
2025/Sep/17,19:55:14,32.825,1,1
2025/Sep/17,19:55:16,37.830,1,1
2025/Sep/17,19:55:17,33.755,1,1
2025/Sep/17,19:55:18,34.964,1,1
2025/Sep/17,19:55:19,33.043,1,1
2025/Sep/17,19:55:20,33.076,1,1
2025/Sep/17,19:55:21,38.912,1,1
2025/Sep/17,19:55:22,32.993,1,1
2025/Sep/17,19:55:23,35.728,1,1
2025/Sep/17,19:55:24,33.313,1,1
2025/Sep/17,19:55:25,37.040,1,1
2025/Sep/17,19:55:26,33.684,1,1
2025/Sep/17,19:55:27,38.457,1,1
2025/Sep/17,19:55:29,42.009,1,1
2025/Sep/17,19:55:30,37.893,1,1
2025/Sep/17,19:55:31,40.162,1,1
2025/Sep/17,19:55:32,38.978,1,1
2025/Sep/17,19:55:33,39.739,1,1
2025/Sep/17,19:55:34,43.291,1,1
2025/Sep/17,19:55:35,43.782,1,1
2025/Sep/17,19:55:36,36.767,1,1
2025/Sep/17,19:55:37,39.316,1,1
2025/Sep/17,19:55:38,42.467,1,1
2025/Sep/17,19:55:39,43.150,1,1
2025/Sep/17,19:55:40,43.936,1,1
2025/Sep/17,19:55:42,44.094,1,1
2025/Sep/17,19:55:43,35.956,1,1
2025/Sep/17,19:55:44,29.980,1,1
2025/Sep/17,19:55:45,37.204,1,1
2025/Sep/17,19:55:46,34.348,1,1
2025/Sep/17,19:55:47,37.071,1,1
2025/Sep/17,19:55:48,30.492,1,1
2025/Sep/17,19:55:49,33.769,1,1
2025/Sep/17,19:55:50,34.734,1,1
2025/Sep/17,19:55:51,34.454,1,1
2025/Sep/17,19:55:52,34.729,1,1
2025/Sep/17,19:55:53,38.453,1,1
2025/Sep/17,19:55:55,32.733,1,1
2025/Sep/17,19:55:56,30.776,1,1
2025/Sep/17,19:55:57,37.655,1,1
2025/Sep/17,19:55:58,N/A,1,0
2025/Sep/17,19:55:59,39.148,1,1
2025/Sep/17,19:56:00,46.713,1,1
2025/Sep/17,19:56:01,36.983,1,1
2025/Sep/17,19:56:02,42.533,1,1
