datetime,UL,DL
2025/Sep/24 16:41:19,8.68,24.2
2025/Sep/24 16:41:22,8.16,44.6
2025/Sep/24 16:41:24,10.3,37.1
2025/Sep/24 16:41:27,18.1,73.3
2025/Sep/24 16:41:30,21.2,57.9
2025/Sep/24 16:41:32,17.4,83.8
2025/Sep/24 16:41:35,21.7,81.8
2025/Sep/24 16:41:37,20.3,54.4
2025/Sep/24 16:41:40,8.83,46.0
2025/Sep/24 16:41:43,8.0,28.6
2025/Sep/24 16:41:45,11.3,90.2
2025/Sep/24 16:41:48,6.48,47.4
2025/Sep/24 16:41:50,11.3,35.9
2025/Sep/24 16:41:53,6.82,27.3
2025/Sep/24 16:41:56,23.9,62.7
2025/Sep/24 16:41:58,15.2,64.3
2025/Sep/24 16:42:01,23.2,83.2
2025/Sep/24 16:42:03,7.82,80.6
2025/Sep/24 16:42:06,10.3,32.3
2025/Sep/24 16:42:09,8.83,43.0
2025/Sep/24 16:42:11,8.15,63.2
2025/Sep/24 16:42:14,14.7,25.6
2025/Sep/24 16:42:17,14.4,28.3
2025/Sep/24 16:42:19,11.3,41.7
2025/Sep/24 16:42:22,7.82,51.5
2025/Sep/24 16:42:24,15.6,53.0
2025/Sep/24 16:42:27,7.44,61.5
2025/Sep/24 16:42:30,18.5,34.1
2025/Sep/24 16:42:32,13.8,72.3
2025/Sep/24 16:42:35,12.1,46.2
2025/Sep/24 16:42:37,11.2,46.2
2025/Sep/24 16:42:40,7.82,77.1
2025/Sep/24 16:42:42,10.3,93.9
2025/Sep/24 16:42:45,11.7,32.8
2025/Sep/24 16:42:47,10.4,8.57
2025/Sep/24 16:42:50,10.1,72.9
2025/Sep/24 16:42:53,10.7,122.0
2025/Sep/24 16:42:55,18.4,32.4
2025/Sep/24 16:42:58,10.1,71.4
2025/Sep/24 16:43:00,9.91,53.5
2025/Sep/24 16:43:03,11.8,49.7
2025/Sep/24 16:43:05,17.8,56.6
2025/Sep/24 16:43:08,7.82,65.5
2025/Sep/24 16:43:10,13.9,65.4
2025/Sep/24 16:43:13,12.2,32.6
2025/Sep/24 16:43:16,21.0,58.4
2025/Sep/24 16:43:18,8.33,76.2
2025/Sep/24 16:43:21,21.3,91.5
2025/Sep/24 16:43:23,12.5,47.2
2025/Sep/24 16:43:26,23.5,13.0
2025/Sep/24 16:43:28,23.8,50.7
2025/Sep/24 16:43:31,10.8,40.2
2025/Sep/24 16:43:33,12.8,40.2
2025/Sep/24 16:43:36,12.2,68.5
2025/Sep/24 16:43:39,14.9,50.1
2025/Sep/24 16:43:41,12.7,76.7
2025/Sep/24 16:43:44,8.33,44.8
2025/Sep/24 16:43:46,26.7,93.4
2025/Sep/24 16:43:49,12.9,80.2
2025/Sep/24 16:43:51,8.81,65.8
2025/Sep/24 16:43:54,19.7,99.2
2025/Sep/24 16:43:56,9.95,42.2
2025/Sep/24 16:43:59,15.9,48.7
2025/Sep/24 16:44:01,14.2,108.0
2025/Sep/24 16:44:04,9.14,24.5
2025/Sep/24 16:44:07,13.7,95.4
2025/Sep/24 16:44:09,8.92,89.5
2025/Sep/24 16:44:12,12.2,74.4
2025/Sep/24 16:44:14,28.4,51.7
2025/Sep/24 16:44:17,9.31,78.2
2025/Sep/24 16:44:20,16.0,52.9
2025/Sep/24 16:44:22,9.09,126.0
2025/Sep/24 16:44:25,12.2,49.5
2025/Sep/24 16:44:27,15.5,39.5
2025/Sep/24 16:44:30,10.7,41.5
2025/Sep/24 16:44:32,7.86,64.6
2025/Sep/24 16:44:35,13.2,39.4
2025/Sep/24 16:44:38,13.7,36.0
2025/Sep/24 16:44:40,15.2,62.8
2025/Sep/24 16:44:43,21.9,104.0
2025/Sep/24 16:44:45,13.7,52.3
2025/Sep/24 16:44:48,21.3,101.0
2025/Sep/24 16:44:51,11.4,77.1
2025/Sep/24 16:44:53,21.2,47.2
2025/Sep/24 16:44:56,3.63,99.2
2025/Sep/24 16:44:59,5.03,35.9
2025/Sep/24 16:45:01,5.19,96.4
2025/Sep/24 16:45:04,3.6,49.3
2025/Sep/24 16:45:06,5.09,61.1
2025/Sep/24 16:45:09,2.69,43.2
2025/Sep/24 16:45:11,6.11,35.1
2025/Sep/24 16:45:14,4.95,99.0
2025/Sep/24 16:45:16,5.14,71.8
2025/Sep/24 16:45:19,6.11,51.0
2025/Sep/24 16:45:22,5.05,102.0
2025/Sep/24 16:45:24,5.8,27.6
2025/Sep/24 16:45:27,5.58,54.9
2025/Sep/24 16:45:29,4.61,50.1
2025/Sep/24 16:45:32,6.07,62.5
2025/Sep/24 16:45:34,4.22,83.3
2025/Sep/24 16:45:37,5.61,49.8
2025/Sep/24 16:45:40,3.6,96.8
2025/Sep/24 16:45:42,5.12,35.0
2025/Sep/24 16:45:45,4.08,74.1
2025/Sep/24 16:45:48,5.1,105.0
2025/Sep/24 16:45:50,3.89,28.7
2025/Sep/24 16:45:53,4.12,60.8
2025/Sep/24 16:45:55,5.11,48.3
2025/Sep/24 16:45:58,4.53,113.0
2025/Sep/24 16:46:01,5.66,66.7
2025/Sep/24 16:46:03,5.1,32.3
2025/Sep/24 16:46:06,5.13,47.3
2025/Sep/24 16:46:08,5.08,55.4
2025/Sep/24 16:46:11,4.61,21.2
2025/Sep/24 16:46:13,5.1,33.6
2025/Sep/24 16:46:16,4.6,29.9
2025/Sep/24 16:46:19,5.12,32.6
2025/Sep/24 16:46:21,5.12,26.0
2025/Sep/24 16:46:24,5.14,47.3
2025/Sep/24 16:46:26,4.5,81.1
2025/Sep/24 16:46:29,3.19,77.8
2025/Sep/24 16:46:32,3.61,43.7
2025/Sep/24 16:46:34,4.13,59.9
2025/Sep/24 16:46:37,5.1,89.3
2025/Sep/24 16:46:39,4.13,44.2
2025/Sep/24 16:46:42,5.09,35.2
2025/Sep/24 16:46:44,3.57,54.0
2025/Sep/24 16:46:47,3.87,54.2
2025/Sep/24 16:46:50,4.09,20.0
2025/Sep/24 16:46:52,3.54,29.9
2025/Sep/24 16:46:55,5.08,45.3
2025/Sep/24 16:46:57,4.08,71.9
2025/Sep/24 16:47:00,5.12,57.9
2025/Sep/24 16:47:03,3.63,40.0
2025/Sep/24 16:47:05,4.08,61.4
2025/Sep/24 16:47:08,4.09,31.2
2025/Sep/24 16:47:10,4.6,41.6
2025/Sep/24 16:47:13,7.05,79.9
2025/Sep/24 16:47:15,5.65,48.0
2025/Sep/24 16:47:18,6.6,34.8
2025/Sep/24 16:47:21,5.1,60.5
2025/Sep/24 16:47:23,6.11,59.8
2025/Sep/24 16:47:26,5.27,66.7
2025/Sep/24 16:47:28,4.58,87.3
2025/Sep/24 16:47:31,5.1,107.0
2025/Sep/24 16:47:33,5.1,45.9
2025/Sep/24 16:47:36,3.38,41.5
2025/Sep/24 16:47:38,3.02,57.2
2025/Sep/24 16:47:41,5.1,78.7
2025/Sep/24 16:47:43,5.62,50.3
2025/Sep/24 16:47:46,5.09,20.6
2025/Sep/24 16:47:48,5.1,37.5
2025/Sep/24 16:47:51,3.98,49.3
2025/Sep/24 16:47:54,3.9,23.7
2025/Sep/24 16:47:56,6.12,36.9
2025/Sep/24 16:47:59,5.1,90.5
2025/Sep/24 16:48:01,5.09,52.8
2025/Sep/24 16:48:04,5.09,76.6
2025/Sep/24 16:48:06,4.62,32.1
2025/Sep/24 16:48:09,6.11,67.2
2025/Sep/24 16:48:11,7.1,41.2
2025/Sep/24 16:48:14,5.62,51.1
2025/Sep/24 16:48:16,5.64,95.7
2025/Sep/24 16:48:19,5.13,32.5
2025/Sep/24 16:48:21,6.63,76.9
2025/Sep/24 16:48:24,5.28,34.8
2025/Sep/24 16:48:26,7.1,66.8
2025/Sep/24 16:48:29,5.62,32.4
2025/Sep/24 16:48:32,7.12,59.2
2025/Sep/24 16:48:34,6.08,96.6
2025/Sep/24 16:48:37,6.12,34.1
2025/Sep/24 16:48:39,6.11,59.5
2025/Sep/24 16:48:42,6.11,65.7
2025/Sep/24 16:48:44,5.64,80.4
2025/Sep/24 16:48:47,7.09,21.4
2025/Sep/24 16:48:49,5.1,75.6
2025/Sep/24 16:48:52,6.12,46.7
2025/Sep/24 16:48:54,4.13,76.6
2025/Sep/24 16:48:57,6.05,51.1
2025/Sep/24 16:48:59,5.1,55.6
2025/Sep/24 16:49:02,6.36,53.7
2025/Sep/24 16:49:04,5.09,28.8
2025/Sep/24 16:49:07,4.6,37.1
2025/Sep/24 16:49:10,4.61,33.0
2025/Sep/24 16:49:12,5.1,36.6
2025/Sep/24 16:49:15,7.15,59.5
2025/Sep/24 16:49:17,4.69,45.8
2025/Sep/24 16:49:20,5.63,69.5
2025/Sep/24 16:49:22,3.39,36.6
2025/Sep/24 16:49:25,3.33,30.8
2025/Sep/24 16:49:28,3.13,36.4
2025/Sep/24 16:49:31,3.95,31.4
2025/Sep/24 16:49:34,4.62,41.1
2025/Sep/24 16:49:36,3.01,27.2
2025/Sep/24 16:49:39,3.59,15.7
2025/Sep/24 16:49:42,5.13,35.1
2025/Sep/24 16:49:44,3.64,29.9
2025/Sep/24 16:49:47,4.61,26.1
2025/Sep/24 16:49:49,3.6,39.1
2025/Sep/24 16:49:52,5.12,15.2
2025/Sep/24 16:49:55,6.08,67.9
2025/Sep/24 16:49:57,4.99,83.5
2025/Sep/24 16:50:00,6.61,70.5
2025/Sep/24 16:50:02,4.66,64.8
2025/Sep/24 16:50:05,7.11,58.6
2025/Sep/24 16:50:08,5.12,62.6
2025/Sep/24 16:50:10,6.62,76.7
2025/Sep/24 16:50:13,5.0,34.8
2025/Sep/24 16:50:15,5.1,103.0
2025/Sep/24 16:50:18,6.1,49.8
2025/Sep/24 16:50:20,4.09,30.9
2025/Sep/24 16:50:23,6.13,52.8
2025/Sep/24 16:50:26,5.1,39.5
2025/Sep/24 16:50:28,5.59,53.8
2025/Sep/24 16:50:31,6.12,64.2
2025/Sep/24 16:50:33,5.08,109.0
2025/Sep/24 16:50:36,6.11,78.6
2025/Sep/24 16:50:38,3.14,39.3
2025/Sep/24 16:50:41,4.08,25.6
2025/Sep/24 16:50:44,4.05,30.1
2025/Sep/24 16:50:46,2.74,13.6
