Date Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Sep/24 16:41:20,53.630,1,1
2025/Sep/24 16:41:22,34.767,1,1
2025/Sep/24 16:41:23,41.859,1,1
2025/Sep/24 16:41:24,36.490,1,1
2025/Sep/24 16:41:25,32.050,1,1
2025/Sep/24 16:41:26,36.717,1,1
2025/Sep/24 16:41:27,37.696,1,1
2025/Sep/24 16:41:28,38.883,1,1
2025/Sep/24 16:41:30,47.623,1,1
2025/Sep/24 16:41:31,50.776,1,1
2025/Sep/24 16:41:32,39.552,1,1
2025/Sep/24 16:41:33,38.832,1,1
2025/Sep/24 16:41:34,48.537,1,1
2025/Sep/24 16:41:35,39.547,1,1
2025/Sep/24 16:41:36,43.369,1,1
2025/Sep/24 16:41:37,37.093,1,1
2025/Sep/24 16:41:39,38.339,1,1
2025/Sep/24 16:41:40,44.241,1,1
2025/Sep/24 16:41:41,42.904,1,1
2025/Sep/24 16:41:42,44.430,1,1
2025/Sep/24 16:41:43,38.438,1,1
2025/Sep/24 16:41:44,38.273,1,1
2025/Sep/24 16:41:45,37.347,1,1
2025/Sep/24 16:41:47,37.962,1,1
2025/Sep/24 16:41:48,40.579,1,1
2025/Sep/24 16:41:49,37.550,1,1
2025/Sep/24 16:41:50,38.026,1,1
2025/Sep/24 16:41:51,37.684,1,1
2025/Sep/24 16:41:52,41.847,1,1
2025/Sep/24 16:41:53,37.382,1,1
2025/Sep/24 16:41:55,41.384,1,1
2025/Sep/24 16:41:56,37.403,1,1
2025/Sep/24 16:41:57,43.445,1,1
2025/Sep/24 16:41:58,38.021,1,1
2025/Sep/24 16:41:59,39.811,1,1
2025/Sep/24 16:42:00,38.888,1,1
2025/Sep/24 16:42:01,40.739,1,1
2025/Sep/24 16:42:03,50.210,1,1
2025/Sep/24 16:42:04,47.309,1,1
2025/Sep/24 16:42:05,41.337,1,1
2025/Sep/24 16:42:06,44.382,1,1
2025/Sep/24 16:42:07,46.098,1,1
2025/Sep/24 16:42:08,39.714,1,1
2025/Sep/24 16:42:09,41.976,1,1
2025/Sep/24 16:42:11,39.360,1,1
2025/Sep/24 16:42:12,42.700,1,1
2025/Sep/24 16:42:13,35.409,1,1
2025/Sep/24 16:42:14,36.513,1,1
2025/Sep/24 16:42:15,38.024,1,1
2025/Sep/24 16:42:16,37.837,1,1
2025/Sep/24 16:42:17,35.948,1,1
2025/Sep/24 16:42:19,40.009,1,1
2025/Sep/24 16:42:20,36.388,1,1
2025/Sep/24 16:42:21,37.565,1,1
2025/Sep/24 16:42:22,35.858,1,1
2025/Sep/24 16:42:23,37.253,1,1
2025/Sep/24 16:42:24,40.242,1,1
2025/Sep/24 16:42:25,36.474,1,1
2025/Sep/24 16:42:27,42.331,1,1
2025/Sep/24 16:42:28,33.733,1,1
2025/Sep/24 16:42:29,40.634,1,1
2025/Sep/24 16:42:30,35.513,1,1
2025/Sep/24 16:42:31,43.434,1,1
2025/Sep/24 16:42:32,34.530,1,1
2025/Sep/24 16:42:33,34.432,1,1
2025/Sep/24 16:42:35,38.475,1,1
2025/Sep/24 16:42:36,41.858,1,1
2025/Sep/24 16:42:37,40.260,1,1
2025/Sep/24 16:42:38,43.461,1,1
2025/Sep/24 16:42:39,34.104,1,1
2025/Sep/24 16:42:40,33.269,1,1
2025/Sep/24 16:42:41,38.912,1,1
2025/Sep/24 16:42:43,70.883,1,1
2025/Sep/24 16:42:44,32.367,1,1
