Date,Time,UL,DL
2025/Dec/17,17:43:34,16.7,107.0
2025/Dec/17,17:43:37,27.3,81.8
2025/Dec/17,17:43:40,16.5,84.3
2025/Dec/17,17:43:43,20.6,67.1
2025/Dec/17,17:43:46,22.3,89.1
2025/Dec/17,17:43:49,18.3,124.0
2025/Dec/17,17:43:52,15.4,114.0
2025/Dec/17,17:43:55,9.11,92.2
2025/Dec/17,17:43:58,20.2,42.9
2025/Dec/17,17:44:01,15.5,56.5
2025/Dec/17,17:44:04,11.5,69.4
2025/Dec/17,17:44:07,12.1,92.9
2025/Dec/17,17:44:09,9.05,75.7
2025/Dec/17,17:44:12,12.1,73.9
2025/Dec/17,17:44:15,10.0,50.2
2025/Dec/17,17:44:18,9.1,8.14
2025/Dec/17,17:44:21,11.3,40.8
2025/Dec/17,17:44:25,20.6,81.4
2025/Dec/17,17:44:27,28.8,112.0
2025/Dec/17,17:44:30,19.8,56.9
2025/Dec/17,17:44:33,34.7,37.3
2025/Dec/17,17:44:36,20.0,97.0
2025/Dec/17,17:44:39,20.8,24.4
2025/Dec/17,17:44:42,20.4,56.8
2025/Dec/17,17:44:45,20.9,39.7
2025/Dec/17,17:44:48,18.7,84.0
2025/Dec/17,17:44:51,17.6,102.0
2025/Dec/17,17:44:53,19.4,47.7
2025/Dec/17,17:44:56,19.7,66.9
2025/Dec/17,17:44:59,9.16,67.0
2025/Dec/17,17:45:02,18.4,67.5
2025/Dec/17,17:45:05,20.2,50.5
2025/Dec/17,17:45:08,15.1,20.0
2025/Dec/17,17:45:11,20.1,98.7
2025/Dec/17,17:45:14,20.8,68.5
2025/Dec/17,17:45:17,15.1,88.8
2025/Dec/17,17:45:20,14.8,101.0
2025/Dec/17,17:45:23,18.4,37.7
2025/Dec/17,17:45:25,19.1,92.6
2025/Dec/17,17:45:28,20.1,98.9
2025/Dec/17,17:45:31,14.1,90.8
2025/Dec/17,17:45:34,20.3,91.4
2025/Dec/17,17:45:37,15.5,118.0
2025/Dec/17,17:45:40,19.8,115.0
2025/Dec/17,17:45:43,20.2,67.3
