Date,Time,Max_RTT_ms,Sent_Packets,Received_Packets
2025/Dec/17,17:43:35,27.439,1,1
2025/Dec/17,17:43:36,31.248,1,1
2025/Dec/17,17:43:36,20.420,1,1
2025/Dec/17,17:43:37,23.933,1,1
2025/Dec/17,17:43:37,19.388,1,1
2025/Dec/17,17:43:38,18.252,1,1
2025/Dec/17,17:43:38,19.714,1,1
2025/Dec/17,17:43:39,21.787,1,1
2025/Dec/17,17:43:39,18.917,1,1
2025/Dec/17,17:43:40,20.720,1,1
2025/Dec/17,17:43:40,19.951,1,1
2025/Dec/17,17:43:41,16.337,1,1
2025/Dec/17,17:43:42,22.004,1,1
2025/Dec/17,17:43:42,21.009,1,1
2025/Dec/17,17:43:43,20.556,1,1
2025/Dec/17,17:43:43,21.455,1,1
2025/Dec/17,17:43:44,19.209,1,1
2025/Dec/17,17:43:44,23.356,1,1
2025/Dec/17,17:43:45,19.379,1,1
2025/Dec/17,17:43:45,16.892,1,1
2025/Dec/17,17:43:46,16.729,1,1
2025/Dec/17,17:43:47,21.466,1,1
2025/Dec/17,17:43:47,22.496,1,1
2025/Dec/17,17:43:48,23.376,1,1
2025/Dec/17,17:43:48,25.165,1,1
2025/Dec/17,17:43:49,21.654,1,1
2025/Dec/17,17:43:49,22.267,1,1
2025/Dec/17,17:43:50,26.512,1,1
2025/Dec/17,17:43:50,20.310,1,1
2025/Dec/17,17:43:51,22.111,1,1
2025/Dec/17,17:43:51,25.174,1,1
2025/Dec/17,17:43:52,19.016,1,1
2025/Dec/17,17:43:53,29.725,1,1
2025/Dec/17,17:43:53,22.135,1,1
2025/Dec/17,17:43:54,21.406,1,1
2025/Dec/17,17:43:54,26.209,1,1
2025/Dec/17,17:43:55,20.487,1,1
2025/Dec/17,17:43:55,18.247,1,1
2025/Dec/17,17:43:56,22.757,1,1
2025/Dec/17,17:43:57,22.968,1,1
2025/Dec/17,17:43:57,23.094,1,1
2025/Dec/17,17:43:58,25.911,1,1
2025/Dec/17,17:43:58,28.033,1,1
2025/Dec/17,17:43:59,24.276,1,1
2025/Dec/17,17:43:59,17.766,1,1
2025/Dec/17,17:44:00,22.609,1,1
2025/Dec/17,17:44:00,29.807,1,1
2025/Dec/17,17:44:01,22.768,1,1
2025/Dec/17,17:44:01,21.599,1,1
2025/Dec/17,17:44:02,22.356,1,1
2025/Dec/17,17:44:02,18.765,1,1
2025/Dec/17,17:44:03,23.772,1,1
2025/Dec/17,17:44:04,22.344,1,1
2025/Dec/17,17:44:04,21.705,1,1
2025/Dec/17,17:44:05,21.999,1,1
2025/Dec/17,17:44:05,30.768,1,1
2025/Dec/17,17:44:06,26.554,1,1
2025/Dec/17,17:44:06,26.180,1,1
2025/Dec/17,17:44:07,26.814,1,1
2025/Dec/17,17:44:07,22.474,1,1
2025/Dec/17,17:44:08,21.556,1,1
2025/Dec/17,17:44:09,24.329,1,1
2025/Dec/17,17:44:09,26.518,1,1
2025/Dec/17,17:44:10,23.684,1,1
2025/Dec/17,17:44:10,22.815,1,1
2025/Dec/17,17:44:11,22.980,1,1
2025/Dec/17,17:44:11,25.389,1,1
2025/Dec/17,17:44:12,27.093,1,1
2025/Dec/17,17:44:12,23.216,1,1
2025/Dec/17,17:44:13,23.024,1,1
2025/Dec/17,17:44:13,22.975,1,1
2025/Dec/17,17:44:14,20.324,1,1
2025/Dec/17,17:44:15,24.439,1,1
2025/Dec/17,17:44:15,18.771,1,1
2025/Dec/17,17:44:16,27.197,1,1
2025/Dec/17,17:44:16,26.659,1,1
2025/Dec/17,17:44:17,N/A,1,0
2025/Dec/17,17:44:17,24.110,1,1
2025/Dec/17,17:44:18,23.184,1,1
2025/Dec/17,17:44:18,28.026,1,1
2025/Dec/17,17:44:19,27.230,1,1
2025/Dec/17,17:44:20,20.437,1,1
2025/Dec/17,17:44:20,21.514,1,1
2025/Dec/17,17:44:21,28.593,1,1
2025/Dec/17,17:44:21,27.325,1,1
2025/Dec/17,17:44:22,35.967,1,1
2025/Dec/17,17:44:22,23.124,1,1
2025/Dec/17,17:44:23,N/A,1,0
2025/Dec/17,17:44:23,N/A,1,0
2025/Dec/17,17:44:24,65.871,1,1
2025/Dec/17,17:44:24,21.506,1,1
2025/Dec/17,17:44:25,21.723,1,1
2025/Dec/17,17:44:25,17.666,1,1
2025/Dec/17,17:44:26,21.994,1,1
2025/Dec/17,17:44:27,21.946,1,1
2025/Dec/17,17:44:27,24.476,1,1
2025/Dec/17,17:44:28,N/A,1,0
2025/Dec/17,17:44:28,19.696,1,1
2025/Dec/17,17:44:29,27.772,1,1
2025/Dec/17,17:44:29,21.490,1,1
2025/Dec/17,17:44:30,19.017,1,1
2025/Dec/17,17:44:31,17.769,1,1
2025/Dec/17,17:44:31,28.294,1,1
2025/Dec/17,17:44:32,17.554,1,1
2025/Dec/17,17:44:32,21.637,1,1
2025/Dec/17,17:44:33,23.535,1,1
2025/Dec/17,17:44:33,16.264,1,1
2025/Dec/17,17:44:34,16.643,1,1
2025/Dec/17,17:44:34,19.415,1,1
2025/Dec/17,17:44:35,25.228,1,1
2025/Dec/17,17:44:35,24.627,1,1
2025/Dec/17,17:44:36,20.678,1,1
2025/Dec/17,17:44:36,16.608,1,1
2025/Dec/17,17:44:37,16.392,1,1
2025/Dec/17,17:44:37,21.980,1,1
2025/Dec/17,17:44:38,20.475,1,1
2025/Dec/17,17:44:39,19.994,1,1
2025/Dec/17,17:44:39,20.780,1,1
2025/Dec/17,17:44:40,23.133,1,1
2025/Dec/17,17:44:40,19.621,1,1
2025/Dec/17,17:44:41,17.737,1,1
2025/Dec/17,17:44:41,24.616,1,1
2025/Dec/17,17:44:42,16.992,1,1
2025/Dec/17,17:44:43,77.702,1,1
2025/Dec/17,17:44:43,22.708,1,1
2025/Dec/17,17:44:44,23.174,1,1
2025/Dec/17,17:44:44,24.195,1,1
2025/Dec/17,17:44:45,29.521,1,1
2025/Dec/17,17:44:45,20.707,1,1
2025/Dec/17,17:44:46,21.083,1,1
2025/Dec/17,17:44:46,21.402,1,1
2025/Dec/17,17:44:47,23.651,1,1
2025/Dec/17,17:44:47,28.555,1,1
2025/Dec/17,17:44:48,20.910,1,1
2025/Dec/17,17:44:48,20.858,1,1
2025/Dec/17,17:44:49,22.605,1,1
2025/Dec/17,17:44:50,20.656,1,1
2025/Dec/17,17:44:50,20.861,1,1
2025/Dec/17,17:44:51,20.661,1,1
2025/Dec/17,17:44:51,20.924,1,1
2025/Dec/17,17:44:52,22.439,1,1
2025/Dec/17,17:44:52,25.780,1,1
2025/Dec/17,17:44:53,25.921,1,1
2025/Dec/17,17:44:54,22.032,1,1
2025/Dec/17,17:44:54,24.419,1,1
2025/Dec/17,17:44:55,21.562,1,1
2025/Dec/17,17:44:55,22.765,1,1
2025/Dec/17,17:44:56,22.727,1,1
2025/Dec/17,17:44:56,21.150,1,1
2025/Dec/17,17:44:57,26.573,1,1
2025/Dec/17,17:44:57,22.261,1,1
2025/Dec/17,17:44:58,22.149,1,1
2025/Dec/17,17:44:58,21.409,1,1
2025/Dec/17,17:44:59,24.688,1,1
