Date,Time,UL,DL
2025/Dec/17,16:44:55,2.65,19.4
2025/Dec/17,16:44:58,3.0,6.95
2025/Dec/17,16:45:01,5.44,13.3
2025/Dec/17,16:45:04,2.42,6.43
2025/Dec/17,16:45:07,3.25,10.1
2025/Dec/17,16:45:10,3.05,5.54
2025/Dec/17,16:45:13,3.01,10.5
2025/Dec/17,16:45:16,3.34,9.21
2025/Dec/17,16:45:19,2.41,8.68
2025/Dec/17,16:45:22,3.77,10.8
2025/Dec/17,16:45:25,3.08,5.64
2025/Dec/17,16:45:28,2.82,13.4
2025/Dec/17,16:45:30,5.28,23.5
2025/Dec/17,16:45:35,4.32,36.6
2025/Dec/17,16:45:37,6.51,13.2
2025/Dec/17,16:45:40,5.31,9.85
2025/Dec/17,16:45:43,3.53,15.7
2025/Dec/17,16:45:46,3.71,10.1
2025/Dec/17,16:45:49,3.75,13.4
2025/Dec/17,16:45:52,5.12,14.7
2025/Dec/17,16:45:55,4.59,22.7
2025/Dec/17,16:45:57,3.2,39.6
2025/Dec/17,16:46:00,4.92,20.0
2025/Dec/17,16:46:03,5.26,19.6
2025/Dec/17,16:46:06,2.81,17.0
2025/Dec/17,16:46:09,2.45,11.1
2025/Dec/17,16:46:12,3.1,7.67
2025/Dec/17,16:46:15,5.56,42.5
2025/Dec/17,16:46:18,6.29,13.3
2025/Dec/17,16:46:22,3.82,34.4
2025/Dec/17,16:46:24,3.09,14.8
2025/Dec/17,16:46:27,2.31,16.0
2025/Dec/17,16:46:30,5.1,7.7
2025/Dec/17,16:46:33,3.58,14.7
2025/Dec/17,16:46:36,3.63,33.4
2025/Dec/17,16:46:39,3.05,41.4
2025/Dec/17,16:46:42,4.3,17.0
2025/Dec/17,16:46:45,6.83,6.93
2025/Dec/17,16:46:48,3.17,19.6
2025/Dec/17,16:46:51,2.83,15.8
2025/Dec/17,16:46:54,2.46,8.6
2025/Dec/17,16:46:57,3.69,18.8
2025/Dec/17,16:47:00,5.57,15.5
2025/Dec/17,16:47:03,4.94,15.1
2025/Dec/17,16:47:05,4.11,15.8
2025/Dec/17,16:47:08,3.13,19.8
2025/Dec/17,16:47:11,2.42,20.3
2025/Dec/17,16:47:14,3.12,17.7
2025/Dec/17,16:47:18,1.66,14.1
2025/Dec/17,16:47:21,3.84,12.2
2025/Dec/17,16:47:24,4.33,9.38
2025/Dec/17,16:47:27,2.12,10.0
2025/Dec/17,16:47:30,3.65,9.26
2025/Dec/17,16:47:33,3.16,10.2
2025/Dec/17,16:47:36,7.34,10.0
2025/Dec/17,16:47:39,3.95,28.7
2025/Dec/17,16:47:42,3.92,15.7
2025/Dec/17,16:47:45,4.87,38.6
2025/Dec/17,16:47:48,10.2,16.6
2025/Dec/17,16:47:51,3.03,13.4
2025/Dec/17,16:47:54,4.32,19.9
2025/Dec/17,16:47:57,3.0,27.8
2025/Dec/17,16:48:00,9.65,13.6
2025/Dec/17,16:48:03,14.4,13.5
2025/Dec/17,16:48:06,6.78,13.5
2025/Dec/17,16:48:08,4.38,16.9
2025/Dec/17,16:48:11,3.11,14.0
2025/Dec/17,16:48:14,4.28,8.45
2025/Dec/17,16:48:17,2.5,31.3
2025/Dec/17,16:48:20,5.47,10.8
2025/Dec/17,16:48:23,3.01,15.6
2025/Dec/17,16:48:26,4.35,16.0
2025/Dec/17,16:48:29,6.55,9.96
2025/Dec/17,16:48:32,3.05,22.3
2025/Dec/17,16:48:35,3.03,22.7
2025/Dec/17,16:48:38,2.91,16.4
2025/Dec/17,16:48:41,3.01,25.4
2025/Dec/17,16:48:44,25.0,6.47
2025/Dec/17,16:48:48,7.82,8.6
2025/Dec/17,16:48:51,4.91,13.0
2025/Dec/17,16:48:54,5.2,9.18
2025/Dec/17,16:48:56,2.09,13.3
2025/Dec/17,16:48:59,9.13,17.3
2025/Dec/17,16:49:02,1.66,3.58
2025/Dec/17,16:49:06,4.14,10.2
2025/Dec/17,16:49:09,3.4,3.68
2025/Dec/17,16:49:12,2.27,8.66
2025/Dec/17,16:49:15,4.1,16.4
2025/Dec/17,16:49:18,7.39,17.2
2025/Dec/17,16:49:21,5.77,14.2
2025/Dec/17,16:49:24,4.74,14.4
2025/Dec/17,16:49:27,2.35,8.85
2025/Dec/17,16:49:30,2.87,9.39
2025/Dec/17,16:49:33,3.61,7.82
2025/Dec/17,16:49:36,2.81,10.3
2025/Dec/17,16:49:39,2.25,24.8
2025/Dec/17,16:49:42,3.13,10.7
2025/Dec/17,16:49:46,2.25,8.14
2025/Dec/17,16:49:49,4.6,7.92
2025/Dec/17,16:49:52,3.0,14.4
2025/Dec/17,16:49:55,6.17,18.5
2025/Dec/17,16:49:58,6.41,9.54
2025/Dec/17,16:50:01,14.0,13.5
2025/Dec/17,16:50:04,13.5,11.9
2025/Dec/17,16:50:07,3.11,51.9
2025/Dec/17,16:50:09,7.65,14.9
2025/Dec/17,16:50:13,4.8,13.8
2025/Dec/17,16:50:15,3.1,28.3
2025/Dec/17,16:50:18,5.22,25.2
2025/Dec/17,16:50:21,3.02,26.9
2025/Dec/17,16:50:24,5.8,12.9
2025/Dec/17,16:50:27,7.61,13.3
2025/Dec/17,16:50:30,14.0,16.0
2025/Dec/17,16:50:33,11.0,15.0
2025/Dec/17,16:50:36,12.7,22.6
2025/Dec/17,16:50:39,4.23,21.1
2025/Dec/17,16:50:42,6.18,23.4
2025/Dec/17,16:50:45,3.9,17.5
2025/Dec/17,16:50:48,3.06,33.1
