Record Time(UTC)	Latitude	Longitude	Input	Output	Speed	Angle	RSSI	Altitude
11/10/2023 20:34	38.952179	-95.264008	--	--	0		-75	275
11/10/2023 20:35	38.952179	-95.264008	--	--	0		-72	275
11/10/2023 20:35	38.952179	-95.264008	--	--	0		-72	276
11/10/2023 20:35	38.952179	-95.264008	--	--	0		-71	278
11/10/2023 20:35	38.952179	-95.264008	--	--	0		-71	279
11/10/2023 20:35	38.95219	-95.263954	--	--	1		-73	307
11/10/2023 20:35	38.952206	-95.263954	--	--	0		-73	310
11/10/2023 20:36	38.952206	-95.263954	--	--	0		-74	311
11/10/2023 20:36	38.952187	-95.263954	--	--	1		-74	308
11/10/2023 20:36	38.952164	-95.263969	--	--	0		-74	304
11/10/2023 20:36	38.952171	-95.263969	--	--	0		-73	304
11/10/2023 20:36	38.952171	-95.263954	--	--	0		-73	305
11/10/2023 20:36	38.952171	-95.263954	--	--	0		-70	305
11/10/2023 20:37	38.952229	-95.264008	--	--	10	48	-70	307
11/10/2023 20:37	38.952221	-95.264084	--	--	0		-65	308
11/10/2023 20:37	38.95219	-95.264099	--	--	0		-65	305
11/10/2023 20:37	38.95219	-95.264099	--	--	0		-65	305
11/10/2023 20:37	38.952126	-95.264053	--	--	5	163	-58	306
11/10/2023 20:37	38.952076	-95.264023	--	--	0		-58	307
11/10/2023 20:38	38.952087	-95.264038	--	--	0		-57	306
11/10/2023 20:38	38.952095	-95.264038	--	--	0		-57	305
11/10/2023 20:38	38.952019	-95.263969	--	--	7	197	-57	305
11/10/2023 20:38	38.951923	-95.264137	--	--	6	232	-57	304
11/10/2023 20:38	38.951836	-95.264313	--	--	7	240	-50	301
11/10/2023 20:38	38.951748	-95.264496	--	--	7	248	-50	300
11/10/2023 20:39	38.95171	-95.264687	--	--	4		-50	295
11/10/2023 20:39	38.951836	-95.264771	--	--	6	339	-51	295
11/10/2023 20:39	38.951988	-95.264801	--	--	9	331	-51	300
11/10/2023 20:39	38.952133	-95.264885	--	--	7	328	-55	299
11/10/2023 20:39	38.952274	-95.264999	--	--	5	332	-55	299
11/10/2023 20:39	38.952415	-95.265015	--	--	7	47	-59	301
11/10/2023 20:40	38.952511	-95.264854	--	--	7	49	-59	300
11/10/2023 20:40	38.952602	-95.264687	--	--	6	40	-59	299
11/10/2023 20:40	38.952724	-95.264542	--	--	5	50	-55	299
11/10/2023 20:40	38.952831	-95.264381	--	--	6	57	-55	299
11/10/2023 20:40	38.9529	-95.264267	--	--	8	45	-55	299
11/10/2023 20:40	38.952988	-95.264069	--	--	4		-55	299
11/10/2023 20:41	38.953087	-95.263893	--	--	5	69	-52	300
11/10/2023 20:41	38.953178	-95.263748	--	--	7	57	-52	301
