Date Time,latitude,longitude,MCC,MNC,PCI,EARFCN,CellID,LAC,RSRP,RSRQ,RSSI,SINR,NB1_EARFCN,NB1_PCI,NB1_RSRQ,NB1_RSRP,NB1_RSSI,NB2_EARFCN,NB2_PCI,NB2_RSRQ,NB2_RSRP,NB2_RSSI,NB3_EARFCN,NB3_PCI,NB3_RSRQ,NB3_RSRP,NB3_RSSI,NB4_EARFCN,NB4_PCI,NB4_RSRQ,NB4_RSRP,NB4_RSSI,NB5_EARFCN,NB5_PCI,NB5_RSRQ,NB5_RSRP,NB5_RSSI,NB6_EARFCN,NB6_PCI,NB6_RSRQ,NB6_RSRP,NB6_RSSI,NB7_EARFCN,NB7_PCI,NB7_RSRQ,NB7_RSRP,NB7_RSSI,NB8_EARFCN,NB8_PCI,NB8_RSRQ,NB8_RSRP,NB8_RSSI,NB9_EARFCN,NB9_PCI,NB9_RSRQ,NB9_RSRP,NB9_RSSI,NB10_EARFCN,NB10_PCI,NB10_RSRQ,NB10_RSRP,NB10_RSSI
11/30/23 14:22:04,38.9535427,-95.26237681666667,311,480,332,2300,216252.32,55302,-89,-17,-50,8,
11/30/23 14:22:08,38.953447866666664,-95.2614382,311,480,332,2300,216252.32,55302,-88,-18,-49,8,311,480,260,2300,216090.32,55302,-80,-14,-45,9,311,480,214,2300,216844.22,55302,-77,-10,-47,14,311,480,214,2300,216844.22,55302,-77,-9,-48,16,311,480,214,2300,216844.22,55302,-77,-9,-47,14,311,480,214,2300,216844.22,55302,-78,-9,-49,14,311,480,214,2300,216844.22,55302,-77,-9,-48,15,311,480,214,2300,216844.22,55302,-76,-7,-48,16,311,480,214,2300,216844.22,55302,-78,-9,-48,14,311,480,214,2300,216844.22,55302,-71,-10,-40,15,
11/30/23 14:22:50,38.95364945,-95.25965643333333,
11/30/23 14:22:51,38.9536771,-95.25962178333333,311,480,214,2300,216844.22,55302,-62,-9,-32,16,
11/30/23 14:22:54,38.95364788333333,-95.25941111666667,311,480,214,2300,216844.22,55302,-63,-10,-33,16,
11/30/23 14:22:58,38.9538617,-95.25902951666667,311,480,214,2300,216844.22,55302,-67,-9,-38,16,311,480,214,2300,216844.22,55302,-68,-9,-38,15,311,480,214,2300,216844.22,55302,-67,-8,-38,17,311,480,214,2300,216844.22,55302,-73,-9,-45,15,311,480,214,2300,216844.22,55302,-78,-10,-46,12,311,480,214,2300,216844.22,55302,-81,-12,-48,11,311,480,214,2300,216844.22,55302,-88,-12,-56,11,
11/30/23 14:23:27,38.95275933333333,-95.2580848,311,480,260,2300,216090.32,55302,-85,-14,-51,11,
11/30/23 14:23:32,38.95236536666667,-95.25771853333333,311,480,260,2300,216090.32,55302,-84,-15,-48,10,
11/30/23 14:23:36,38.952155516666664,-95.25740618333333,311,480,278,2300,216455.32,55302,-82,-15,-47,12,
11/30/23 14:23:40,38.95193808333333,-95.25707001666666,311,480,278,2300,216455.32,55302,-82,-15,-47,13,
11/30/23 14:23:44,38.951792616666665,-95.25674906666667,311,480,278,2300,216455.32,55302,-85,-13,-51,11,
11/30/23 14:23:48,38.951681416666666,-95.25657381666667,311,480,278,2300,216455.32,55302,-85,-15,-49,11,
11/30/23 14:23:52,38.95156911666667,-95.25648503333333,311,480,278,2300,216455.32,55302,-84,-14,-53,14,
11/30/23 14:23:56,38.95161028333333,-95.25653568333334,311,480,278,2300,216455.32,55302,-84,-15,-48,13,
11/30/23 14:24:00,38.951603483333336,-95.25653666666666,311,480,278,2300,216455.32,55302,-81,-11,-49,13,
11/30/23 14:24:04,38.95160421666667,-95.25653611666667,311,480,278,2300,216455.32,55302,-87,-14,-51,11,
11/30/23 14:24:09,38.95160741666667,-95.25653493333333,311,480,278,2300,216455.32,55302,-89,-18,-50,9,
11/30/23 14:24:13,38.951512533333336,-95.25630828333334,311,480,278,2300,216455.32,55302,-83,-13,-49,10,
11/30/23 14:24:17,38.95138125,-95.25614848333333,311,480,278,2300,216455.32,55302,-82,-11,-50,13,
11/30/23 14:24:21,38.9512585,-95.2560367,311,480,278,2300,216455.32,55302,-78,-14,-42,14,
11/30/23 14:24:25,38.951231883333335,-95.2556785,311,480,278,2300,216455.32,55302,-82,-12,-48,14,
11/30/23 14:24:29,38.951366416666666,-95.25536811666667,311,480,278,2300,216455.32,55302,-85,-14,-51,13,311,480,278,2300,216455.32,55302,-89,-13,-56,11,
11/30/23 14:24:38,38.95138675,-95.254401,311,480,278,2300,216455.32,55302,-88,-15,-53,11,
11/30/23 14:24:42,38.95128613333333,-95.25382276666667,311,480,278,2300,216455.32,55302,-83,-10,-54,14,
11/30/23 14:24:46,38.951344066666664,-95.25334121666667,311,480,278,2300,216455.32,55302,-65,-10,-34,21,
11/30/23 14:24:50,38.95134993333333,-95.25291823333333,311,480,278,2300,216455.32,55302,-64,-11,-32,21,
11/30/23 14:24:54,38.951158416666665,-95.25263803333333,311,480,278,2300,216455.32,55302,-63,-7,-36,23,
11/30/23 14:24:58,38.95124263333334,-95.25269168333334,311,480,278,2300,216455.32,55302,-64,-8,-35,23,
11/30/23 14:25:02,38.95128773333333,-95.2527979,311,480,278,2300,216455.32,55302,-64,-12,-31,22,
11/30/23 14:25:06,38.9513056,-95.25280078333333,311,480,278,2300,216455.32,55302,-64,-12,-28,20,
11/30/23 14:25:10,38.95130518333333,-95.25279128333334,311,480,278,2300,216455.32,55302,-69,-12,-36,18,
11/30/23 14:25:15,38.951277733333335,-95.25253961666667,311,480,278,2300,216455.32,55302,-74,-13,-37,18,
11/30/23 14:25:19,38.9512619,-95.2521473,311,480,278,2300,216455.32,55302,-70,-13,-33,20,
11/30/23 14:25:23,38.9512723,-95.25187496666666,311,480,278,2300,216455.32,55302,-74,-12,-42,19,
11/30/23 14:25:27,38.9512516,-95.25164418333334,311,480,278,2300,216455.32,55302,-74,-12,-40,18,
11/30/23 14:25:31,38.95131035,-95.25163803333334,311,480,278,2300,216455.32,55302,-74,-14,-40,19,
11/30/23 14:25:35,38.9512982,-95.2515875,311,480,278,2300,216455.32,55302,-74,-13,-40,19,
11/30/23 14:25:39,38.95128236666667,-95.25156638333333,
11/30/23 14:25:41,38.9512802,-95.25155283333334,311,480,278,2300,216455.32,55302,-74,-13,-41,19,
11/30/23 14:25:44,38.9512903,-95.25154008333334,311,480,278,2300,216455.32,55302,-74,-13,-41,19,
11/30/23 14:25:48,38.951313633333335,-95.25153875,311,480,278,2300,216455.32,55302,-73,-13,-39,20,
11/30/23 14:25:52,38.9513241,-95.25153535,311,480,278,2300,216455.32,55302,-73,-13,-39,18,
11/30/23 14:25:56,38.95132485,-95.25153501666667,311,480,278,2300,216455.32,55302,-71,-14,-36,18,311,480,278,2300,216455.32,55302,-68,-13,-33,20,311,480,278,2300,216455.32,55302,-68,-12,-36,20,311,480,278,2300,216455.32,55302,-70,-9,-40,18,
11/30/23 14:26:13,38.951324766666666,-95.25153496666667,311,480,278,2300,216455.32,55302,-70,-11,-38,18,
11/30/23 14:26:17,38.95132458333333,-95.25153488333333,311,480,278,2300,216455.32,55302,-69,-11,-38,20,
11/30/23 14:26:22,38.95132456666666,-95.2515349,311,480,278,2300,216455.32,55302,-68,-13,-35,20,
11/30/23 14:26:26,38.95132435,-95.25153463333334,311,480,278,2300,216455.32,55302,-73,-12,-40,16,
11/30/23 14:26:30,38.951324283333335,-95.25153455,311,480,278,2300,216455.32,55302,-78,-14,-44,16,
11/30/23 14:26:34,38.9513243,-95.25153453333333,311,480,278,2300,216455.32,55302,-73,-13,-39,17,
11/30/23 14:26:38,38.95132426666667,-95.25153451666667,311,480,278,2300,216455.32,55302,-72,-11,-40,16,
11/30/23 14:26:42,38.95132425,-95.25153451666667,311,480,278,2300,216455.32,55302,-71,-11,-39,17,
11/30/23 14:26:46,38.95132425,-95.2515345,311,480,278,2300,216455.32,55302,-71,-15,-35,16,311,480,278,2300,216455.32,55302,-72,-13,-40,17,311,480,277,2300,216455.22,55302,-80,-14,-46,12,311,480,277,2300,216455.22,55302,-80,-14,-45,13,311,480,277,2300,216455.22,55302,-85,-14,-50,11,311,480,277,2300,216455.22,55302,-77,-14,-41,11,
11/30/23 14:27:30,38.95131865,-95.24973711666667,311,480,277,2300,216455.22,55302,-77,-14,-43,14,
11/30/23 14:27:34,38.9513074,-95.24945975,311,480,277,2300,216455.22,55302,-81,-14,-46,12,
11/30/23 14:27:38,38.95129598333333,-95.24923586666667,311,480,277,2300,216455.22,55302,-79,-14,-44,11,
11/30/23 14:27:42,38.95128903333333,-95.24906416666667,311,480,277,2300,216455.22,55302,-81,-14,-47,11,
11/30/23 14:27:47,38.9513056,-95.24910573333334,311,480,277,2300,216455.22,55302,-85,-16,-48,9,
11/30/23 14:27:51,38.951327633333335,-95.24910876666667,311,480,277,2300,216455.22,55302,-73,-13,-37,13,
11/30/23 14:27:55,38.95134595,-95.24907705,311,480,277,2300,216455.22,55302,-81,-15,-45,9,
11/30/23 14:27:59,38.95161136666667,-95.24907576666666,311,480,277,2300,216455.22,55302,-84,-15,-48,0,
11/30/23 14:28:03,38.95179013333333,-95.24907035,311,480,277,2300,216455.22,55302,-87,-15,-52,11,
11/30/23 14:28:07,38.95199358333333,-95.24903196666666,311,480,277,2300,216455.22,55302,-90,-17,-52,9,
11/30/23 14:28:11,38.95220571666667,-95.24899985,311,480,277,2300,216455.22,55302,-84,-15,-49,11,
11/30/23 14:28:15,38.9523763,-95.24896828333334,311,480,277,2300,216455.22,55302,-85,-15,-49,10,
11/30/23 14:28:19,38.95241108333333,-95.24888681666667,311,480,277,2300,216455.22,55302,-86,-15,-49,11,
11/30/23 14:28:24,38.952410283333336,-95.24853408333334,311,480,277,2300,216455.22,55302,-84,-13,-49,12,
11/30/23 14:28:28,38.952429966666664,-95.24853966666667,311,480,277,2300,216455.22,55302,-88,-16,-50,10,
11/30/23 14:28:32,38.95242918333334,-95.24861401666666,311,480,277,2300,216455.22,55302,-89,-17,-50,8,
