Date Time,latitude,longitude,MCC,MNC,PCI,EARFCN,CellID,LAC,RSRP,RSRQ,RSSI,SINR,NB1_EARFCN,NB1_PCI,NB1_RSRQ,NB1_RSRP,NB1_RSSI,NB2_EARFCN,NB2_PCI,NB2_RSRQ,NB2_RSRP,NB2_RSSI,NB3_EARFCN,NB3_PCI,NB3_RSRQ,NB3_RSRP,NB3_RSSI,NB4_EARFCN,NB4_PCI,NB4_RSRQ,NB4_RSRP,NB4_RSSI,NB5_EARFCN,NB5_PCI,NB5_RSRQ,NB5_RSRP,NB5_RSSI,NB6_EARFCN,NB6_PCI,NB6_RSRQ,NB6_RSRP,NB6_RSSI,NB7_EARFCN,NB7_PCI,NB7_RSRQ,NB7_RSRP,NB7_RSSI,NB8_EARFCN,NB8_PCI,NB8_RSRQ,NB8_RSRP,NB8_RSSI,NB9_EARFCN,NB9_PCI,NB9_RSRQ,NB9_RSRP,NB9_RSSI,NB10_EARFCN,NB10_PCI,NB10_RSRQ,NB10_RSRP,NB10_RSSI38.915796883333336,-95.31793663333333,
2024/May/22 14:59:48,311,480,203,2300,216253.32,55302,-102,-15,-65,10,2300,203,-15,-101,-65,2300,110,-15,-103,-79,2300,332,-19,-109,-79,38.91582388333333,-95.31790478333333,
2024/May/22 14:59:51,311,480,203,2300,216253.32,55302,-103,-19,-64,8,5230,386,-19,-100,-64,38.9158337,-95.31781485,
2024/May/22 14:59:57,311,480,386,5230,216150.3,55302,-96,-15,-64,9,5230,386,-17,-98,-64,5230,330,-13,-97,-76,5230,110,-15,-99,-76,38.915833916666664,-95.3177686,
2024/May/22 15:00:00,311,480,203,2300,216253.32,55302,-103,-15,-67,10,2300,203,-15,-103,-67,2300,332,-15,-103,-79,2300,110,-18,-105,-79,38.91584673333333,-95.31773118333334,
2024/May/22 15:00:03,311,480,203,2300,216253.32,55302,-106,-20,-65,6,2300,203,-20,-106,-65,2300,386,-10,-98,-79,2300,332,-15,-103,-79,2300,110,-15,-103,-79,38.9158641,-95.3177031,
2024/May/22 15:00:06,311,480,332,2300,220252.32,55302,-105,-17,-68,9,2300,332,-17,-105,-68,2300,203,-16,-105,-81,2300,386,-17,-106,-80,38.91588373333333,-95.31770341666666,
2024/May/22 15:00:09,311,480,203,2300,216253.32,55302,-103,-16,-66,0,2300,203,-16,-103,-66,2300,332,-20,-108,-65,2300,386,-16,-104,-80,2300,202,-17,-105,-80,2300,281,-20,-108,-80,38.91589188333333,-95.31768973333334,
2024/May/22 15:00:12,311,480,203,2300,216253.32,55302,-113,-18,-74,9,2300,203,-18,-113,-74,2300,386,-11,-107,-88,38.9158893,-95.31768845,
2024/May/22 15:00:15,311,480,203,2300,216253.32,55302,-109,-17,-72,8,2300,203,-17,-109,-72,2300,386,-16,-111,-87,38.915888333333335,-95.31768881666666,
2024/May/22 15:00:18,311,480,203,2300,216253.32,55302,-109,-16,-73,9,2300,203,-14,-110,-76,2300,386,-12,-108,-88,38.915886,-95.31769168333334,
2024/May/22 15:00:23,311,480,203,2300,216253.32,55302,-109,-15,-74,9,2300,203,-15,-109,-74,2300,386,-13,-108,-86,38.91588545,-95.31769176666667,
2024/May/22 15:00:26,311,480,203,2300,216253.32,55302,-109,-16,-72,8,2300,203,-16,-109,-72,2300,386,-13,-107,-86,2300,202,-16,-110,-86,38.91588555,-95.31769226666667,
2024/May/22 15:00:29,311,480,203,2300,216253.32,55302,-107,-15,-71,9,2300,203,-15,-107,-71,2300,386,-17,-109,-84,2300,202,-16,-108,-84,38.915885583333335,-95.31769223333333,
2024/May/22 15:00:33,311,480,203,2300,216253.32,55302,-107,-17,-70,8,2300,203,-17,-107,-70,2300,386,-14,-106,-84,2300,202,-14,-106,-84,38.91588588333333,-95.31769161666666,
2024/May/22 15:00:36,311,480,203,2300,216253.32,55302,-108,-18,-70,8,2300,203,-18,-108,-70,2300,386,-14,-106,-84,2300,202,-16,-108,-84,38.91588578333333,-95.31769446666667,
2024/May/22 15:00:39,311,480,203,2300,216253.32,55302,-110,-18,-71,9,2300,203,-18,-110,-71,2300,386,-15,-109,-85,2300,202,-16,-110,-85,38.91588411666667,-95.31769685,
2024/May/22 15:00:42,311,480,203,2300,216253.32,55302,-111,-16,-74,8,2300,203,-16,-111,-74,2300,202,-18,-113,-87,2300,386,-13,-107,-86,38.915884483333336,-95.31769881666666,
2024/May/22 15:00:45,311,480,203,2300,216253.32,55302,-110,-18,-72,8,2300,203,-18,-110,-72,2300,386,-15,-108,-85,2300,202,-16,-110,-85,38.915884616666666,-95.3176991,
2024/May/22 15:00:48,311,480,203,2300,216253.32,55302,-110,-17,-73,8,2300,203,-17,-110,-73,2300,386,-12,-107,-87,2300,202,-15,-113,-87,38.9158847,-95.31769955,
2024/May/22 15:00:51,311,480,203,2300,216253.32,55302,-111,-17,-74,8,2300,203,-17,-111,-74,2300,386,-11,-107,-87,2300,202,-17,-113,-87,38.91588481666667,-95.3177001,
2024/May/22 15:00:54,311,480,203,2300,216253.32,55302,-112,-18,-73,8,2300,203,-18,-112,-73,2300,386,-16,-109,-85,2300,202,-18,-112,-86,38.915884883333334,-95.31770036666667,
2024/May/22 15:00:57,311,480,203,2300,216253.32,55302,-111,-17,-73,7,2300,203,-17,-111,-73,2300,386,-14,-108,-86,2300,202,-15,-109,-86,38.9158849,-95.3177005,
2024/May/22 15:01:00,311,480,203,2300,216253.32,55302,-110,-15,-74,8,2300,203,-15,-110,-74,2300,386,-12,-107,-87,2300,202,-15,-111,-87,38.91588495,-95.31770061666667,
2024/May/22 15:01:03,311,480,203,2300,216253.32,55302,-109,-15,-74,8,2300,203,-15,-109,-74,2300,386,-11,-107,-88,2300,202,-15,-111,-88,38.91588495,-95.31770068333333,
2024/May/22 15:01:06,311,480,203,2300,216253.32,55302,-110,-16,-73,8,2300,203,-16,-110,-73,2300,386,-13,-108,-86,2300,202,-16,-111,-86,38.91588495,-95.31770071666666,
2024/May/22 15:01:09,311,480,203,2300,216253.32,55302,-110,-16,-73,8,2300,203,-16,-110,-73,2300,386,-12,-109,-88,2300,202,-16,-114,-88,38.91588495,-95.31770075,
2024/May/22 15:01:12,311,480,203,2300,216253.32,55302,-110,-17,-72,8,2300,203,-17,-110,-72,2300,386,-15,-108,-85,38.91588496666667,-95.31770075,
2024/May/22 15:01:15,311,480,203,2300,216253.32,55302,-110,-17,-69,8,2300,203,-16,-110,-73,2300,386,-14,-108,-86,38.915885,-95.31770088333333,
2024/May/22 15:01:21,311,480,203,2300,216253.32,55302,-109,-15,-74,9,2300,203,-15,-109,-74,2300,386,-13,-108,-87,38.915884983333335,-95.31770095,
2024/May/22 15:01:24,311,480,203,2300,216253.32,55302,-110,-16,-73,8,2300,203,-17,-110,-73,2300,386,-13,-108,-87,38.91588493333333,-95.31770095,
2024/May/22 15:01:27,311,480,203,2300,216253.32,55302,-110,-17,-71,8,2300,203,-17,-110,-71,2300,386,-17,-109,-84,38.91588495,-95.31770095,
2024/May/22 15:01:30,311,480,203,2300,216253.32,55302,-111,-18,-72,8,2300,203,-18,-111,-72,2300,202,-16,-110,-86,2300,386,-16,-110,-85,38.91588496666667,-95.31770098333334,
2024/May/22 15:01:33,311,480,203,2300,216253.32,55302,-111,-18,-73,9,2300,203,-18,-111,-73,2300,386,-15,-109,-86,2300,202,-16,-111,-86,2300,6,-20,-115,-86,38.915884983333335,-95.31770101666666,
2024/May/22 15:01:36,311,480,203,2300,216253.32,55302,-111,-17,-74,7,2300,203,-17,-111,-74,2300,386,-17,-112,-87,2300,202,-18,-113,-87,2300,332,-17,-113,-87,38.91588496666667,-95.31770103333334,
2024/May/22 15:01:39,311,480,203,2300,216253.32,55302,-112,-18,-71,8,2300,203,-16,-111,-74,2300,386,-13,-108,-88,2300,332,-15,-110,-87,2300,202,-15,-111,-88,2300,6,-16,-119,-88,38.915884983333335,-95.31770103333334,
2024/May/22 15:01:44,311,480,386,2300,216150.32,55302,-108,-15,-72,8,2300,386,-14,-108,-73,38.915885,-95.31770106666667,
2024/May/22 15:01:49,311,480,386,2300,216150.32,55302,-108,-14,-73,8,2300,386,-14,-108,-73,38.91588496666667,-95.31770116666667,
2024/May/22 15:01:52,311,480,386,2300,216150.32,55302,-108,-15,-73,8,2300,386,-15,-108,-73,38.91588493333333,-95.31770118333333,
2024/May/22 15:01:56,311,480,386,2300,216150.32,55302,-108,-14,-74,8,2300,386,-15,-108,-73,38.915884883333334,-95.31770116666667,
2024/May/22 15:01:59,311,480,386,2300,216150.32,55302,-108,-15,-72,8,2300,386,-15,-108,-72,2300,203,-14,-109,-86,2300,212,-17,-114,-86,2300,202,-17,-112,-86,38.915884866666666,-95.31770118333333,
2024/May/22 15:02:02,311,480,386,2300,216150.32,55302,-108,-14,-74,8,2300,386,-14,-108,-74,2300,203,-12,-107,-87,2300,332,-15,-111,-88,2300,202,-15,-113,-87,38.91588483333334,-95.31770123333334,
2024/May/22 15:02:05,311,480,386,2300,216150.32,55302,-107,-14,-72,8,2300,386,-16,-108,-71,2300,203,-14,-107,-84,2300,332,-20,-117,-84,2300,202,-16,-109,-84,38.915873516666665,-95.31775695,
2024/May/22 15:02:08,311,480,203,2300,216253.32,55302,-100,-14,-63,10,2300,203,-14,-100,-63,38.91584196666667,-95.31813868333333,
2024/May/22 15:02:11,311,480,203,2300,216253.32,55302,-90,-13,-56,10,2300,203,-13,-90,-56,2300,386,-12,-88,-68,38.9157859,-95.3186056,
2024/May/22 15:02:14,311,480,203,2300,216253.32,55302,-88,-15,-52,9,2300,203,-15,-88,-52,2300,386,-12,-86,-66,38.91594271666666,-95.31899623333334,
2024/May/22 15:02:17,311,480,203,2300,216253.32,55302,-97,-17,-51,7,2300,203,-17,-97,-51,2300,386,-13,-86,-65,38.9163608,-95.31895113333333,
2024/May/22 15:02:20,311,480,203,2300,216253.32,55302,-91,-15,-54,9,2300,203,-15,-91,-54,2300,110,-13,-89,-68,2300,332,-14,-92,-69,2300,104,-14,-93,-68,38.91667171666667,-95.31838918333334,
2024/May/22 15:02:23,311,480,203,2300,216253.32,55302,-91,-13,-55,10,2300,203,-13,-91,-55,2300,104,-15,-99,-69,2300,110,-16,-95,-69,2300,332,-14,-95,-69,38.916860033333336,-95.31780085,
2024/May/22 15:02:26,311,480,203,2300,216253.32,55302,-87,-14,-53,9,2300,203,-14,-87,-53,2300,110,-16,-89,-64,2300,104,-15,-88,-65,2300,332,-15,-93,-64,38.916898833333335,-95.3171856,
2024/May/22 15:02:29,311,480,203,2300,216253.32,55302,-96,-19,-57,6,2300,203,-19,-96,-57,2300,332,-15,-98,-68,2300,110,-16,-101,-68,2300,281,-13,-89,-68,2300,386,-15,-91,-68,38.91678511666667,-95.31660581666667,
2024/May/22 15:02:32,311,480,281,2300,216247.32,55302,-95,-16,-54,7,2300,281,-16,-95,-54,2300,332,-16,-90,-64,2300,386,-15,-88,-64,38.91649173333333,-95.31606365,
2024/May/22 15:02:35,311,480,281,2300,216247.32,55302,-96,-20,-55,5,2300,281,-20,-96,-55,2300,386,-17,-93,-67,38.91604735,-95.3162469,
2024/May/22 15:02:38,311,480,203,2300,216253.32,55302,-93,-18,-54,0,2300,203,-18,-93,-54,2300,202,-19,-93,-66,2300,281,-19,-97,-54,2300,437,-20,-97,-66,2300,386,-19,-93,-66,2300,110,-20,-97,-66,38.916419366666666,-95.31673446666667,
2024/May/22 15:02:41,311,480,281,2300,216247.32,55302,-93,-12,-58,0,2300,281,-20,-98,-56,2300,386,-16,-91,-67,2300,203,-14,-92,-67,38.91669345,-95.31750663333334,
2024/May/22 15:02:46,311,480,281,2300,216247.32,55302,-96,-20,-55,4,2300,203,-15,-92,-54,2300,281,-20,-96,-55,2300,386,-18,-93,-66,2300,437,-16,-96,-66,38.916766,-95.31801421666667,
2024/May/22 15:02:49,311,480,203,2300,216253.32,55302,-98,-17,-56,8,2300,203,-17,-98,-56,2300,386,-17,-95,-69,38.916817583333334,-95.31855055,
2024/May/22 15:02:52,311,480,203,2300,216253.32,55302,-92,-14,-53,10,2300,203,-14,-92,-53,2300,386,-18,-92,-67,38.91683906666667,-95.3191483,
2024/May/22 15:02:55,311,480,203,2300,216253.32,55302,-92,-16,-53,8,2300,203,-16,-92,-53,2300,386,-15,-89,-66,38.91716635,-95.31935623333334,
2024/May/22 15:02:58,311,480,203,2300,216253.32,55302,-91,-16,-54,8,2300,203,-16,-91,-54,2300,386,-13,-89,-67,38.9173445,-95.3187232,
2024/May/22 15:03:01,311,480,203,2300,216253.32,55302,-88,-14,-53,11,2300,203,-14,-88,-53,2300,386,-14,-88,-67,38.91743556666667,-95.31797978333333,
2024/May/22 15:03:04,311,480,203,2300,216253.32,55302,-89,-16,-52,8,2300,203,-16,-89,-52,2300,437,-16,-89,-65,38.91739945,-95.3172379,
2024/May/22 15:03:07,311,480,203,2300,216253.32,55302,-94,-19,-54,6,2300,203,-19,-94,-54,2300,437,-20,-97,-67,38.91725385,-95.31653565,
2024/May/22 15:03:10,311,480,203,2300,216253.32,55302,-93,-19,-53,8,2300,203,-19,-93,-53,2300,437,-20,-93,-64,2300,202,-17,-90,-64,38.91663135,-95.3159563,
2024/May/22 15:03:14,311,480,202,2300,216253.22,55302,-92,-20,-50,7,2300,202,-20,-92,-50,2300,256,-20,-92,-63,2300,110,-18,-91,-63,38.91656733333333,-95.3167994,
2024/May/22 15:03:18,311,480,202,2300,216253.22,55302,-95,-19,-54,8,2300,203,-17,-91,-52,2300,337,-17,-92,-66,2300,110,-17,-91,-66,2300,202,-19,-95,-54,2300,281,-20,-95,-66,2300,386,-19,-93,-65,2300,437,-15,-91,-66,38.9167247,-95.31733456666667,
2024/May/22 15:03:21,311,480,281,2300,216247.32,55302,-95,-16,-56,0,2300,281,-16,-95,-56,2300,203,-15,-94,-54,2300,110,-15,-91,-68,2300,202,-15,-92,-68,2300,437,-17,-94,-68,2300,386,-13,-90,-68,38.91687173333333,-95.31779071666666,
2024/May/22 15:03:24,311,480,203,2300,216253.32,55302,-95,-14,-56,0,2300,203,-14,-95,-56,2300,281,-16,-103,-57,2300,386,-16,-92,-68,38.91687605,-95.31825211666667,
2024/May/22 15:03:27,311,480,203,2300,216253.32,55302,-90,-15,-55,9,2300,203,-15,-90,-55,2300,386,-15,-89,-66,2300,281,-15,-90,-67,38.916760616666664,-95.31897401666667,
2024/May/22 15:03:31,311,480,203,2300,216253.32,55302,-88,-13,-51,10,2300,203,-13,-88,-51,2300,386,-14,-86,-64,2300,281,-12,-85,-64,38.9169928,-95.31936231666667,
2024/May/22 15:03:34,311,480,281,2300,216247.32,55302,-95,-17,-54,6,2300,281,-17,-95,-54,2300,203,-13,-86,-65,38.917292466666666,-95.31892141666667,
2024/May/22 15:03:37,311,480,203,2300,216253.32,55302,-88,-14,-54,9,2300,203,-16,-89,-53,2300,110,-15,-89,-66,38.9172381,-95.31712566666667,
2024/May/22 15:03:43,311,480,203,2300,216253.32,55302,-90,-16,-53,8,2300,203,-16,-90,-53,2300,110,-17,-90,-65,38.916765133333335,-95.31649148333334,
2024/May/22 15:03:46,311,480,203,2300,216253.32,55302,-93,-19,-54,7,2300,203,-15,-87,-52,2300,110,-20,-102,-64,38.91631446666667,-95.31681228333333,
2024/May/22 15:03:49,311,480,203,2300,216253.32,55302,-91,-13,-56,10,2300,203,-13,-91,-56,2300,437,-14,-94,-69,2300,110,-16,-93,-69,2300,386,-14,-91,-69,38.9163972,-95.31754451666667,
2024/May/22 15:03:52,311,480,203,2300,216253.32,55302,-93,-14,-57,10,2300,203,-14,-93,-57,2300,110,-14,-91,-69,2300,386,-13,-91,-69,2300,437,-14,-93,-69,38.91645913333333,-95.31817256666666,
2024/May/22 15:03:55,311,480,203,2300,216253.32,55302,-94,-14,-55,10,2300,203,-14,-91,-55,2300,386,-17,-92,-67,2300,110,-16,-91,-67,2300,437,-15,-92,-66,38.916389433333336,-95.31878268333334,
2024/May/22 15:03:58,311,480,203,2300,216253.32,55302,-82,-13,-48,11,2300,203,-13,-82,-48,2300,386,-13,-81,-60,2300,437,-15,-85,-61,2300,110,-14,-86,-61,38.91646495,-95.31925185,
2024/May/22 15:04:01,311,480,203,2300,216253.32,55302,-90,-18,-51,8,2300,203,-18,-90,-51,2300,437,-16,-88,-64,2300,386,-14,-85,-64,2300,110,-16,-88,-64,38.91681513333333,-95.31898841666667,
2024/May/22 15:04:04,311,480,203,2300,216253.32,55302,-91,-17,-54,8,2300,203,-17,-91,-54,2300,437,-15,-89,-66,2300,386,-13,-87,-66,38.91688636666667,-95.31822948333334,
2024/May/22 15:04:07,311,480,203,2300,216253.32,55302,-92,-16,-55,8,2300,203,-16,-91,-53,2300,437,-14,-90,-66,2300,386,-12,-87,-66,38.916962416666664,-95.31691886666667,
2024/May/22 15:04:12,311,480,203,2300,216253.32,55302,-91,-18,-53,7,2300,203,-18,-91,-53,2300,437,-16,-89,-64,2300,386,-15,-87,-64,38.916888766666666,-95.31622926666667,
2024/May/22 15:04:15,311,480,203,2300,216253.32,55302,-90,-17,-53,8,2300,203,-17,-90,-53,38.91623495,-95.31618593333333,
2024/May/22 15:04:19,311,480,203,2300,216253.32,55302,-88,-17,-51,8,2300,203,-17,-88,-51,2300,281,-14,-90,-65,2300,110,-15,-92,-65,38.91611506666667,-95.31691301666666,
2024/May/22 15:04:22,311,480,203,2300,216253.32,55302,-94,-18,-55,9,2300,203,-18,-94,-55,2300,110,-16,-93,-68,2300,281,-16,-93,-68,38.916218083333334,-95.31763576666667,
