date time,UL_speed,DL_speed
,7.83,
2025-03-18 11:25:25,12.5,4.65
2025-03-18 11:25:30,12.3,8.86
2025-03-18 11:25:30,7.10,9.40
2025-03-18 11:25:32,14.0,6.17
2025-03-18 11:25:34,10.2,10.7
2025-03-18 11:25:36,11.7,8.11
2025-03-18 11:25:38,8.94,9.34
2025-03-18 11:25:40,7.61,7.16
2025-03-18 11:25:42,9.90,6.46
2025-03-18 11:25:44,10.9,5.96
2025-03-18 11:25:46,7.94,7.91
2025-03-18 11:25:48,8.29,6.85
2025-03-18 11:25:50,6.72,6.35
2025-03-18 11:25:52,9.91,5.43
2025-03-18 11:25:54,7.22,7.10
2025-03-18 11:25:56,5.01,5.06
2025-03-18 11:26:00,8.95,3.78
2025-03-18 11:26:00,9.65,7.00
2025-03-18 11:26:03,5.93,7.40
2025-03-18 11:26:05,8.83,4.62
2025-03-18 11:26:09,5.29,6.45
2025-03-18 11:26:11,9.07,4.64
2025-03-18 11:26:13,9.13,6.46
2025-03-18 11:26:13,7.40,5.84
2025-03-18 11:26:15,9.74,5.66
2025-03-18 11:26:19,10.0,6.92
2025-03-18 11:26:19,10.6,7.03
2025-03-18 11:26:21,7.31,8.11
2025-03-18 11:26:23,9.95,6.37
2025-03-18 11:26:27,7.91,7.09
2025-03-18 11:26:27,9.11,6.23
2025-03-18 11:26:29,8.12,6.63
2025-03-18 11:26:33,7.98,6.70
2025-03-18 11:26:33,7.16,5.70
2025-03-18 11:26:37,8.22,6.17
2025-03-18 11:26:37,7.52,6.61
2025-03-18 11:26:39,13.3,6.42
2025-03-18 11:26:44,11.0,8.72
2025-03-18 11:26:44,6.48,8.21
2025-03-18 11:26:46,5.25,5.01
2025-03-18 11:26:50,9.38,4.31
2025-03-18 11:26:50,10.6,7.16
2025-03-18 11:26:52,9.78,7.48
2025-03-18 11:26:56,10.5,7.80
2025-03-18 11:26:56,9.89,7.45
2025-03-18 11:26:58,7.20,7.38
2025-03-18 11:27:01,4.51,5.26
2025-03-18 11:27:03,7.52,3.62
2025-03-18 11:27:20,7.77,5.73
2025-03-18 11:27:22,9.33,6.18
2025-03-18 11:27:24,6.09,8.01
2025-03-18 11:27:26,6.84,4.95
2025-03-18 11:27:30,5.43,5.49
2025-03-18 11:27:30,8.83,4.70
2025-03-18 11:27:31,11.3,6.97
2025-03-18 11:27:34,6.85,8.64
2025-03-18 11:27:37,6.27,5.96
2025-03-18 11:27:38,7.56,5.13
2025-03-18 11:27:40,7.07,6.40
2025-03-18 11:27:41,8.94,4.81
2025-03-18 11:27:43,6.76,7.12
2025-03-18 11:27:45,7.42,4.95
2025-03-18 11:27:47,7.32,4.97
2025-03-18 11:27:51,7.78,6.02
2025-03-18 11:27:51,8.62,6.41
2025-03-18 11:27:55,7.96,7.22
2025-03-18 11:27:55,8.42,6.65
2025-03-18 11:27:57,7.79,6.68
2025-03-18 11:28:02,10.2,6.38
2025-03-18 11:28:02,10.4,8.24
2025-03-18 11:28:04,7.65,8.47
2025-03-18 11:28:06,13.6,6.63
2025-03-18 11:28:10,6.33,10.9
2025-03-18 11:28:12,19.4,5.03
2025-03-18 11:28:14,8.56,14.2
2025-03-18 11:28:14,12.1,6.80
2025-03-18 11:28:18,14.9,8.09
2025-03-18 11:28:20,8.82,11.8
2025-03-18 11:28:20,17.0,7.00
2025-03-18 11:28:22,12.9,13.2
2025-03-18 11:28:25,23.2,11.3
2025-03-18 11:28:28,9.74,14.6
2025-03-18 11:28:28,7.31,8.19
2025-03-18 11:28:30,12.0,6.16
2025-03-18 11:28:32,20.0,10.1
2025-03-18 11:28:35,13.6,16.0
2025-03-18 11:28:37,10.6,10.9
2025-03-18 11:28:38,11.1,8.42
2025-03-18 11:28:40,8.83,8.66
2025-03-18 11:28:42,6.28,6.97
2025-03-18 11:28:44,7.96,5.32
2025-03-18 11:28:46,13.7,6.31
2025-03-18 11:28:48,9.44,10.8
2025-03-18 11:28:52,13.7,6.58
2025-03-18 11:28:55,12.9,8.81
2025-03-18 11:28:57,8.34,8.45
2025-03-18 11:28:57,6.28,6.45
2025-03-18 11:28:59,7.55,5.52
2025-03-18 11:29:03,11.9,6.07
2025-03-18 11:29:05,7.06,7.89
2025-03-18 11:29:07,9.89,5.70
2025-03-18 11:29:07,11.8,7.87
2025-03-18 11:29:09,8.46,7.22
2025-03-18 11:29:13,8.81,6.04
2025-03-18 11:29:14,8.72,7.06
2025-03-18 11:29:17,8.54,6.89
2025-03-18 11:29:19,8.47,6.97
2025-03-18 11:29:20,5.47,6.94
2025-03-18 11:29:22,13.7,4.80
2025-03-18 11:29:26,11.7,10.4
2025-03-18 11:29:28,11.2,9.25
2025-03-18 11:29:30,6.41,9.40
2025-03-18 11:29:30,7.97,5.23
2025-03-18 11:29:32,10.2,5.64
2025-03-18 11:29:34,5.26,7.97
2025-03-18 11:29:36,6.55,4.59
2025-03-18 11:29:38,8.93,4.85
2025-03-18 11:29:42,7.29,6.25
2025-03-18 11:29:42,8.11,5.87
2025-03-18 11:29:44,9.04,6.40
2025-03-18 11:29:46,7.18,6.89
2025-03-18 11:29:50,5.56,4.29
2025-03-18 11:29:50,7.29,3.87
2025-03-18 11:29:54,12.4,5.06
2025-03-18 11:29:54,7.06,7.90
2025-03-18 11:29:57,7.53,5.48
2025-03-18 11:29:59,8.78,6.24
2025-03-18 11:30:01,9.74,6.36
2025-03-18 11:30:03,7.54,7.20
2025-03-18 11:30:07,10.0,6.19
2025-03-18 11:30:07,6.96,7.10
2025-03-18 11:30:09,8.41,5.24
2025-03-18 11:30:11,11.8,6.77
2025-03-18 11:30:13,11.5,7.24
2025-03-18 11:30:17,6.92,8.50
2025-03-18 11:30:19,7.39,5.79
2025-03-18 11:30:19,8.74,6.11
2025-03-18 11:30:21,9.92,6.03
2025-03-18 11:30:23,8.30,8.16
2025-03-18 11:30:27,5.54,6.55
2025-03-18 11:30:27,8.44,4.45
2025-03-18 11:30:31,7.33,6.49
2025-03-18 11:30:31,4.71,5.78
2025-03-18 11:30:33,4.33,3.50
2025-03-18 11:30:38,3.98,2.98
2025-03-18 11:30:40,6.20,2.21
2025-03-18 11:30:40,5.29,4.54
2025-03-18 11:30:42,7.89,4.38
2025-03-18 11:30:46,7.72,6.57
2025-03-18 11:30:46,9.99,5.99
2025-03-18 11:30:50,10.2,7.05
2025-03-18 11:30:50,8.68,8.11
2025-03-18 11:31:23,9.91,6.38
2025-03-18 11:31:25,6.99,5.49
2025-03-18 11:31:28,9.86,4.75
2025-03-18 11:31:30,8.45,7.42
2025-03-18 11:31:32,5.08,5.65
2025-03-18 11:31:36,6.45,4.40
2025-03-18 11:31:36,7.48,4.84
2025-03-18 11:31:38,10.7,6.17
2025-03-18 11:31:40,11.0,7.78
2025-03-18 11:31:44,7.91,7.95
2025-03-18 11:31:44,7.96,6.68
2025-03-18 11:31:46,6.73,6.33
2025-03-18 11:31:48,7.95,5.70
2025-03-18 11:31:50,9.39,6.59
2025-03-18 11:31:53,8.71,7.07
2025-03-18 11:31:53,7.52,7.15
2025-03-18 11:31:57,10.9,5.96
2025-03-18 11:32:00,7.92,7.19
2025-03-18 11:32:00,8.62,6.50
2025-03-18 11:32:02,10.4,6.87
2025-03-18 11:32:37,7.69,8.52
2025-03-18 11:32:37,11.3,6.38
2025-03-18 11:32:41,7.11,8.47
2025-03-18 11:32:43,17.0,5.99
2025-03-18 11:32:43,6.79,12.2
2025-03-18 11:32:47,8.10,5.10
2025-03-18 11:32:47,6.97,6.35
2025-03-18 11:32:51,9.87,5.69
2025-03-18 11:32:53,6.34,6.96
2025-03-18 11:32:55,7.00,5.22
2025-03-18 11:32:57,8.00,6.07
2025-03-18 11:32:59,5.99,6.32
2025-03-18 11:33:01,7.82,5.15
2025-03-18 11:33:01,8.62,6.72
2025-03-18 11:33:05,8.88,6.87
2025-03-18 11:33:07,7.54,7.51
2025-03-18 11:33:07,11.7,6.43
2025-03-18 11:33:09,6.42,7.58
2025-03-18 11:33:11,6.67,5.54
2025-03-18 11:33:15,5.36,3.69
2025-03-18 11:33:17,4.97,4.43
2025-03-18 11:33:17,6.77,3.80
2025-03-18 11:33:21,9.86,4.77
2025-03-18 11:33:22,5.73,6.19
2025-03-18 11:33:26,6.12,4.48
2025-03-18 11:33:28,8.18,3.88
2025-03-18 11:33:28,6.51,5.70
2025-03-18 11:33:30,6.18,4.94
2025-03-18 11:33:34,7.09,5.23
2025-03-18 11:33:36,6.95,5.45
2025-03-18 11:33:36,7.40,5.38
2025-03-18 11:33:40,5.61,5.78
2025-03-18 11:33:42,10.5,4.67
2025-03-18 11:33:42,10.3,7.78
2025-03-18 11:33:46,6.24,7.47
2025-03-18 11:33:46,5.84,5.18
2025-03-18 11:33:50,5.29,4.23
2025-03-18 11:33:52,7.36,4.58
