Date Time,latitude,longitude,MCC,MNC,PCI,EARFCN,CellID,LAC,RSRP,RSRQ,RSSI,SINR,NB1_EARFCN,NB1_PCI,NB1_RSRQ,NB1_RSRP,NB1_RSSI,NB2_EARFCN,NB2_PCI,NB2_RSRQ,NB2_RSRP,NB2_RSSI,NB3_EARFCN,NB3_PCI,NB3_RSRQ,NB3_RSRP,NB3_RSSI,NB4_EARFCN,NB4_PCI,NB4_RSRQ,NB4_RSRP,NB4_RSSI,NB5_EARFCN,NB5_PCI,NB5_RSRQ,NB5_RSRP,NB5_RSSI,NB6_EARFCN,NB6_PCI,NB6_RSRQ,NB6_RSRP,NB6_RSSI,NB7_EARFCN,NB7_PCI,NB7_RSRQ,NB7_RSRP,NB7_RSSI,NB8_EARFCN,NB8_PCI,NB8_RSRQ,NB8_RSRP,NB8_RSSI,NB9_EARFCN,NB9_PCI,NB9_RSRQ,NB9_RSRP,NB9_RSSI,NB10_EARFCN,NB10_PCI,NB10_RSRQ,NB10_RSRP,NB10_RSSI,,311,480,78,5230,216254.1,55302,-92,-11,-62,11,5230,78,-11,-92,-67,5230,79,-14,-93,-71,
2025/Mar/18 11:30:29,,,311,480,78,5230,216254.1,55302,-92,-11,-63,11,5230,78,-11,-92,-64,5230,79,-13,-93,-71,
2025/Mar/18 11:30:31,,,311,480,78,5230,216254.1,55302,-92,-10,-61,11,5230,78,-11,-92,-61,5230,79,-14,-93,-70,
2025/Mar/18 11:30:32,,,311,480,78,5230,216254.1,55302,-92,-12,-62,10,5230,78,-12,-92,-61,5230,79,-14,-93,-71,
2025/Mar/18 11:30:33,,,311,480,78,5230,216254.1,55302,-92,-12,-62,11,5230,78,-12,-92,-62,5230,79,-14,-93,-71,
2025/Mar/18 11:30:34,,,311,480,78,5230,216254.1,55302,-92,-12,-62,11,5230,78,-12,-92,-63,5230,79,-13,-93,-70,
2025/Mar/18 11:30:35,,,311,480,78,5230,216254.1,55302,-92,-12,-62,11,5230,78,-12,-92,-61,5230,79,-13,-94,-71,
2025/Mar/18 11:30:36,,,311,480,78,5230,216254.1,55302,-92,-11,-62,11,5230,78,-12,-92,-62,5230,79,-14,-93,-70,
2025/Mar/18 11:30:37,,,311,480,78,5230,216254.1,55302,-92,-12,-62,11,5230,78,-12,-92,-62,5230,79,-13,-92,-70,
2025/Mar/18 11:30:38,,,311,480,78,5230,216254.1,55302,-91,-11,-62,11,5230,78,-11,-92,-63,5230,79,-13,-93,-71,
2025/Mar/18 11:30:39,,,311,480,78,5230,216254.1,55302,-92,-11,-63,12,5230,78,-11,-92,-64,5230,79,-13,-93,-71,
2025/Mar/18 11:30:40,,,311,480,78,5230,216254.1,55302,-93,-11,-64,11,5230,78,-12,-93,-65,5230,79,-14,-94,-71,
2025/Mar/18 11:30:41,,,311,480,78,5230,216254.1,55302,-93,-10,-65,10,5230,78,-10,-93,-64,5230,79,-12,-94,-73,
2025/Mar/18 11:30:43,,,311,480,78,5230,216254.1,55302,-93,-11,-64,11,5230,78,-10,-93,-65,5230,79,-13,-93,-71,
2025/Mar/18 11:30:44,,,311,480,78,5230,216254.1,55302,-93,-11,-63,11,5230,78,-11,-93,-65,5230,79,-13,-93,-71,
2025/Mar/18 11:30:45,,,311,480,78,5230,216254.1,55302,-92,-11,-64,15,5230,78,-10,-92,-66,5230,79,-13,-93,-72,
2025/Mar/18 11:30:46,,,311,480,78,5230,216254.1,55302,-93,-10,-67,16,5230,78,-10,-93,-64,5230,79,-13,-93,-71,
2025/Mar/18 11:30:47,,,311,480,78,5230,216254.1,55302,-92,-11,-66,14,5230,78,-10,-92,-65,5230,79,-12,-93,-73,
2025/Mar/18 11:30:48,,,311,480,78,5230,216254.1,55302,-92,-11,-64,12,5230,78,-11,-93,-64,5230,79,-14,-93,-71,
2025/Mar/18 11:30:49,,,311,480,78,5230,216254.1,55302,-92,-11,-65,11,5230,78,-10,-92,-64,5230,79,-12,-93,-73,
2025/Mar/18 11:30:50,,,311,480,78,5230,216254.1,55302,-92,-10,-66,12,5230,78,-10,-92,-66,5230,79,-12,-93,-73,
2025/Mar/18 11:30:51,,,311,480,78,5230,216254.1,55302,-92,-10,-63,11,5230,78,-10,-92,-64,5230,79,-13,-93,-72,
2025/Mar/18 11:30:52,,,311,480,78,5230,216254.1,55302,-92,-9,-65,14,5230,78,-9,-92,-64,5230,79,-12,-93,-72,5230,90,-20,-110,-73,
2025/Mar/18 11:30:54,,,311,480,78,5230,216254.1,55302,-92,-10,-65,14,5230,78,-9,-92,-66,5230,79,-12,-93,-72,
2025/Mar/18 11:30:55,,,311,480,78,5230,216254.1,55302,-92,-9,-66,14,5230,78,-9,-92,-64,5230,79,-11,-93,-73,
2025/Mar/18 11:30:56,,,311,480,78,5230,216254.1,55302,-92,-10,-65,11,5230,78,-10,-93,-65,5230,79,-12,-93,-72,
2025/Mar/18 11:30:57,,,311,480,78,5230,216254.1,55302,-93,-10,-65,10,5230,78,-10,-93,-66,5230,79,-13,-94,-72,
2025/Mar/18 11:30:58,,,311,480,78,5230,216254.1,55302,-93,-10,-66,11,5230,78,-9,-93,-66,5230,79,-12,-93,-73,
2025/Mar/18 11:30:59,,,311,480,78,5230,216254.1,55302,-93,-9,-66,14,5230,78,-9,-93,-64,5230,79,-11,-93,-72,
2025/Mar/18 11:31:00,,,311,480,78,5230,216254.1,55302,-93,-11,-64,11,5230,78,-11,-93,-64,5230,79,-13,-93,-72,
2025/Mar/18 11:31:01,,,311,480,78,5230,216254.1,55302,-93,-10,-65,11,5230,78,-9,-93,-66,5230,79,-12,-93,-73,
2025/Mar/18 11:31:02,,,311,480,78,5230,216254.1,55302,-93,-9,-65,11,5230,78,-10,-93,-64,5230,79,-12,-93,-72,
2025/Mar/18 11:31:03,,,311,480,78,5230,216254.1,55302,-93,-9,-64,11,5230,78,-9,-93,-67,5230,79,-12,-93,-73,
2025/Mar/18 11:31:04,,,311,480,78,5230,216254.1,55302,-93,-10,-65,11,5230,78,-10,-93,-64,5230,79,-13,-93,-71,
2025/Mar/18 11:31:06,,,311,480,78,5230,216254.1,55302,-93,-10,-65,11,5230,78,-10,-93,-65,5230,79,-12,-94,-74,
2025/Mar/18 11:31:07,,,311,480,78,5230,216254.1,55302,-93,-10,-66,11,5230,78,-10,-93,-66,5230,79,-12,-94,-73,
2025/Mar/18 11:31:08,,,311,480,78,5230,216254.1,55302,-93,-10,-66,14,5230,78,-10,-93,-65,5230,79,-12,-94,-73,
2025/Mar/18 11:31:09,,,311,480,78,5230,216254.1,55302,-92,-10,-65,10,5230,78,-10,-92,-65,5230,79,-13,-93,-73,
2025/Mar/18 11:31:10,,,311,480,78,5230,216254.1,55302,-91,-11,-61,11,5230,78,-11,-90,-59,5230,79,-13,-91,-66,
2025/Mar/18 11:31:11,,,311,480,78,5230,216254.1,55302,-88,-12,-59,11,5230,78,-12,-89,-60,5230,79,-14,-89,-67,
2025/Mar/18 11:31:12,,,311,480,78,5230,216254.1,55302,-88,-11,-59,11,5230,78,-11,-88,-59,5230,79,-13,-90,-67,
2025/Mar/18 11:31:13,,,311,480,78,5230,216254.1,55302,-90,-11,-62,11,5230,78,-11,-90,-62,5230,79,-13,-90,-69,
2025/Mar/18 11:31:14,,,311,480,78,5230,216254.1,55302,-90,-11,-61,11,5230,78,-11,-89,-60,5230,79,-13,-89,-67,
2025/Mar/18 11:31:15,,,311,480,78,5230,216254.1,55302,-89,-11,-62,11,5230,78,-10,-89,-62,5230,79,-12,-90,-69,
2025/Mar/18 11:31:16,,,311,480,78,5230,216254.1,55302,-89,-10,-60,11,5230,78,-10,-89,-61,5230,79,-12,-89,-68,
2025/Mar/18 11:31:17,,,311,480,78,5230,216254.1,55302,-89,-10,-60,11,5230,78,-11,-89,-59,5230,79,-12,-89,-66,
2025/Mar/18 11:31:18,,,311,480,78,5230,216254.1,55302,-89,-11,-60,11,5230,78,-11,-89,-60,5230,79,-12,-89,-67,
2025/Mar/18 11:31:19,,,311,480,78,5230,216254.1,55302,-89,-10,-59,10,5230,78,-10,-89,-62,5230,79,-12,-89,-69,
2025/Mar/18 11:31:20,,,311,480,78,5230,216254.1,55302,-89,-10,-61,11,5230,78,-10,-89,-61,5230,79,-12,-89,-69,
2025/Mar/18 11:31:21,,,311,480,78,5230,216254.1,55302,-89,-10,-61,11,5230,78,-10,-89,-60,5230,79,-12,-88,-68,
2025/Mar/18 11:31:22,,,311,480,78,5230,216254.1,55302,-89,-11,-62,12,5230,78,-11,-89,-60,5230,79,-13,-89,-67,5230,381,-20,-106,-67,
2025/Mar/18 11:31:23,,,311,480,78,5230,216254.1,55302,-89,-10,-60,11,5230,78,-10,-89,-61,5230,79,-13,-89,-68,
2025/Mar/18 11:31:24,,,311,480,78,5230,216254.1,55302,-89,-12,-59,11,5230,78,-12,-89,-60,5230,79,-13,-89,-67,
2025/Mar/18 11:31:25,,,311,480,78,5230,216254.1,55302,-89,-11,-60,11,5230,78,-11,-89,-61,5230,79,-12,-89,-68,
2025/Mar/18 11:31:26,,,311,480,78,5230,216254.1,55302,-89,-12,-59,10,5230,78,-11,-89,-59,5230,79,-13,-90,-68,
2025/Mar/18 11:31:27,,,311,480,78,5230,216254.1,55302,-89,-11,-60,11,5230,78,-12,-89,-60,5230,79,-13,-89,-68,
2025/Mar/18 11:31:29,,,311,480,78,5230,216254.1,55302,-89,-12,-59,11,5230,78,-11,-89,-62,5230,79,-13,-90,-69,
2025/Mar/18 11:31:30,,,311,480,78,5230,216254.1,55302,-90,-11,-61,11,5230,78,-11,-89,-59,5230,79,-13,-89,-68,
2025/Mar/18 11:31:31,,,311,480,78,5230,216254.1,55302,-89,-12,-59,11,5230,78,-12,-89,-60,5230,79,-13,-89,-67,
2025/Mar/18 11:31:32,,,311,480,78,5230,216254.1,55302,-89,-11,-59,11,5230,78,-11,-89,-59,5230,79,-13,-89,-68,
2025/Mar/18 11:31:33,,,311,480,78,5230,216254.1,55302,-89,-12,-59,11,5230,78,-12,-89,-59,5230,79,-13,-89,-68,
2025/Mar/18 11:31:34,,,311,480,78,5230,216254.1,55302,-89,-11,-58,11,5230,78,-11,-89,-58,5230,79,-13,-89,-66,
2025/Mar/18 11:31:35,,,311,480,78,5230,216254.1,55302,-89,-12,-59,11,5230,78,-11,-89,-59,5230,79,-13,-89,-67,
2025/Mar/18 11:31:36,,,311,480,78,5230,216254.1,55302,-89,-11,-60,13,5230,78,-11,-89,-59,5230,79,-13,-89,-68,
2025/Mar/18 11:31:37,,,311,480,78,5230,216254.1,55302,-89,-11,-59,12,5230,78,-11,-89,-59,5230,79,-13,-89,-66,
2025/Mar/18 11:31:38,,,311,480,78,5230,216254.1,55302,-89,-10,-62,14,5230,78,-10,-89,-60,5230,79,-11,-89,-69,
2025/Mar/18 11:31:39,,,311,480,78,5230,216254.1,55302,-89,-11,-59,10,5230,78,-11,-88,-58,5230,79,-12,-89,-67,
2025/Mar/18 11:31:41,,,311,480,78,5230,216254.1,55302,-89,-11,-60,10,5230,78,-11,-89,-60,5230,79,-12,-89,-68,
2025/Mar/18 11:31:42,,,311,480,78,5230,216254.1,55302,-88,-11,-58,11,5230,78,-11,-89,-59,5230,79,-13,-89,-67,
2025/Mar/18 11:31:43,,,311,480,78,5230,216254.1,55302,-89,-12,-59,11,5230,78,-12,-89,-59,5230,79,-13,-89,-68,
2025/Mar/18 11:31:44,,,311,480,78,5230,216254.1,55302,-89,-11,-61,11,5230,78,-11,-89,-60,5230,79,-13,-89,-68,
2025/Mar/18 11:31:45,,,311,480,78,5230,216254.1,55302,-90,-11,-61,11,5230,78,-11,-90,-62,5230,79,-13,-91,-70,
2025/Mar/18 11:31:46,,,311,480,78,5230,216254.1,55302,-89,-11,-60,11,5230,78,-11,-89,-60,5230,79,-13,-89,-68,
2025/Mar/18 11:31:47,,,311,480,78,5230,216254.1,55302,-89,-11,-60,15,5230,78,-11,-89,-61,5230,79,-13,-89,-69,
2025/Mar/18 11:31:48,,,311,480,78,5230,216254.1,55302,-89,-11,-59,11,5230,78,-11,-89,-59,5230,79,-13,-89,-67,
2025/Mar/18 11:31:49,,,311,480,78,5230,216254.1,55302,-89,-11,-60,11,5230,78,-11,-89,-60,5230,79,-13,-89,-69,
2025/Mar/18 11:31:50,,,311,480,78,5230,216254.1,55302,-89,-11,-59,11,5230,78,-10,-89,-59,5230,79,-12,-90,-68,
2025/Mar/18 11:31:52,,,311,480,78,5230,216254.1,55302,-89,-11,-59,12,5230,78,-11,-89,-60,5230,79,-13,-90,-68,
2025/Mar/18 11:31:53,,,311,480,78,5230,216254.1,55302,-89,-10,-64,13,5230,78,-10,-89,-62,5230,79,-12,-90,-69,
2025/Mar/18 11:31:54,,,311,480,78,5230,216254.1,55302,-89,-11,-60,11,5230,78,-11,-89,-60,5230,79,-13,-90,-68,
2025/Mar/18 11:31:55,,,311,480,78,5230,216254.1,55302,-89,-11,-61,11,5230,78,-10,-89,-62,5230,79,-12,-89,-70,
2025/Mar/18 11:31:56,,,311,480,78,5230,216254.1,55302,-89,-11,-60,11,5230,78,-10,-89,-59,5230,79,-13,-89,-68,
