Date Time,latitude,longitude,MCC,MNC,PCI,EARFCN,CellID,LAC,RSRP,RSRQ,RSSI,SINR,NB1_EARFCN,NB1_PCI,NB1_RSRQ,NB1_RSRP,NB1_RSSI,NB2_EARFCN,NB2_PCI,NB2_RSRQ,NB2_RSRP,NB2_RSSI,NB3_EARFCN,NB3_PCI,NB3_RSRQ,NB3_RSRP,NB3_RSSI,NB4_EARFCN,NB4_PCI,NB4_RSRQ,NB4_RSRP,NB4_RSSI,NB5_EARFCN,NB5_PCI,NB5_RSRQ,NB5_RSRP,NB5_RSSI,NB6_EARFCN,NB6_PCI,NB6_RSRQ,NB6_RSRP,NB6_RSSI,NB7_EARFCN,NB7_PCI,NB7_RSRQ,NB7_RSRP,NB7_RSSI,NB8_EARFCN,NB8_PCI,NB8_RSRQ,NB8_RSRP,NB8_RSSI,NB9_EARFCN,NB9_PCI,NB9_RSRQ,NB9_RSRP,NB9_RSSI,NB10_EARFCN,NB10_PCI,NB10_RSRQ,NB10_RSRP,NB10_RSSI
01/29/25 15:40:38,38.95220765,-95.26396126666667,311,480,364,2300,216841.22,55302,-108,-11,-77,10,2300,280,-14,-110,-88,2300,364,-11,-108,-77,2300,110,-20,-119,-88,
01/29/25 15:40:39,38.95220765,-95.26396126666667,311,480,364,2300,216841.22,55302,-108,-11,-76,11,2300,280,-14,-110,-88,2300,364,-11,-108,-76,
01/29/25 15:40:40,38.95220763333333,-95.26396126666667,311,480,364,2300,216841.22,55302,-108,-11,-78,11,2300,280,-15,-111,-88,2300,364,-11,-108,-78,
01/29/25 15:40:41,38.95220763333333,-95.26396126666667,311,480,364,2300,216841.22,55302,-108,-11,-76,10,2300,280,-14,-111,-88,2300,364,-11,-108,-76,
01/29/25 15:40:42,38.95220763333333,-95.26396125,311,480,364,2300,216841.22,55302,-108,-11,-78,11,2300,280,-14,-110,-88,2300,364,-11,-108,-78,2300,110,-20,-117,-89,
01/29/25 15:40:43,38.95220763333333,-95.26396125,311,480,364,2300,216841.22,55302,-108,-11,-77,10,2300,280,-14,-110,-88,2300,364,-11,-108,-76,2300,110,-20,-118,-88,
01/29/25 15:40:44,38.95220763333333,-95.26396125,311,480,364,2300,216841.22,55302,-108,-11,-76,10,2300,280,-14,-110,-87,2300,364,-11,-108,-77,2300,110,-20,-118,-87,
01/29/25 15:40:45,38.95220763333333,-95.26396125,311,480,364,2300,216841.22,55302,-108,-11,-76,9,2300,280,-15,-110,-88,2300,364,-11,-108,-76,2300,110,-20,-117,-88,
01/29/25 15:40:46,38.95220763333333,-95.26396125,311,480,364,2300,216841.22,55302,-108,-11,-77,10,2300,110,-20,-117,-89,2300,364,-11,-108,-76,2300,280,-14,-111,-88,
01/29/25 15:40:47,38.95220763333333,-95.26396125,311,480,364,2300,216841.22,55302,-108,-11,-76,9,2300,110,-20,-118,-88,2300,364,-11,-108,-76,2300,280,-15,-111,-88,
01/29/25 15:40:48,38.95220763333333,-95.26396125,311,480,364,2300,216841.22,55302,-108,-11,-78,11,2300,110,-20,-117,-89,2300,364,-11,-108,-78,2300,280,-14,-111,-89,
01/29/25 15:40:50,38.95220763333333,-95.26396125,311,480,364,2300,216841.22,55302,-108,-11,-77,10,2300,110,-20,-117,-89,2300,364,-11,-108,-77,2300,280,-14,-111,-89,
01/29/25 15:40:51,38.95220765,-95.26396125,311,480,364,2300,216841.22,55302,-108,-11,-77,10,2300,110,-20,-118,-89,2300,364,-11,-108,-77,2300,280,-14,-110,-89,
01/29/25 15:40:52,38.95220765,-95.26396125,311,480,364,2300,216841.22,55302,-108,-10,-78,11,2300,110,-20,-118,-89,2300,364,-10,-108,-76,2300,280,-14,-110,-89,
01/29/25 15:40:53,38.95220765,-95.26396125,311,480,364,2300,216841.22,55302,-108,-11,-76,10,2300,110,-20,-119,-88,2300,364,-11,-108,-75,2300,280,-14,-110,-88,
01/29/25 15:40:54,38.95220765,-95.26396125,311,480,364,2300,216841.22,55302,-108,-11,-76,9,2300,110,-20,-119,-88,2300,364,-11,-108,-78,2300,280,-14,-111,-88,
