Date Time,latitude,longitude,MCC,MNC,PCI,EARFCN,CellID,LAC,RSRP,RSRQ,RSSI,SINR,NB1_EARFCN,NB1_PCI,NB1_RSRQ,NB1_RSRP,NB1_RSSI,NB2_EARFCN,NB2_PCI,NB2_RSRQ,NB2_RSRP,NB2_RSSI,NB3_EARFCN,NB3_PCI,NB3_RSRQ,NB3_RSRP,NB3_RSSI,NB4_EARFCN,NB4_PCI,NB4_RSRQ,NB4_RSRP,NB4_RSSI,NB5_EARFCN,NB5_PCI,NB5_RSRQ,NB5_RSRP,NB5_RSSI,NB6_EARFCN,NB6_PCI,NB6_RSRQ,NB6_RSRP,NB6_RSSI,NB7_EARFCN,NB7_PCI,NB7_RSRQ,NB7_RSRP,NB7_RSSI,NB8_EARFCN,NB8_PCI,NB8_RSRQ,NB8_RSRP,NB8_RSSI,NB9_EARFCN,NB9_PCI,NB9_RSRQ,NB9_RSRP,NB9_RSSI,NB10_EARFCN,NB10_PCI,NB10_RSRQ,NB10_RSRP,NB10_RSSI
02/04/25 15:14:14,38.915670733333336,-95.3179354,311,480,203,2300,216253.32,55302,-106,-14,-72,10,2300,203,-14,-106,-72,2300,202,-17,-111,-85,
02/04/25 15:14:17,38.91567071666667,-95.31793543333333,311,480,203,2300,216253.32,55302,-106,-12,-74,9,2300,203,-15,-106,-71,2300,202,-16,-110,-87,
02/04/25 15:14:23,38.915670766666665,-95.31793545,311,480,203,2300,216253.32,55302,-106,-13,-73,10,2300,203,-13,-106,-73,2300,202,-16,-110,-85,
02/04/25 15:14:26,38.91567075,-95.31793531666666,311,480,203,2300,216253.32,55302,-106,-12,-74,10,2300,203,-12,-106,-74,2300,202,-17,-112,-87,
02/04/25 15:14:29,38.915670733333336,-95.31793528333333,311,480,203,2300,216253.32,55302,-107,-16,-71,9,2300,203,-16,-107,-71,
02/04/25 15:14:32,38.915670766666665,-95.3179353,311,480,203,2300,216253.32,55302,-106,-12,-74,10,2300,203,-12,-106,-74,2300,202,-16,-111,-87,
02/04/25 15:14:35,38.915670766666665,-95.31793543333333,311,480,203,2300,216253.32,55302,-107,-13,-74,10,2300,203,-13,-107,-74,2300,202,-17,-113,-87,
02/04/25 15:14:38,38.91567075,-95.31793545,311,480,203,2300,216253.32,55302,-106,-14,-71,10,2300,203,-14,-106,-71,2300,202,-15,-111,-88,
02/04/25 15:14:41,38.91567075,-95.31793558333334,311,480,203,2300,216253.32,55302,-107,-13,-73,9,2300,203,-13,-107,-72,2300,202,-20,-117,-88,2300,332,-16,-112,-88,
02/04/25 15:14:44,38.91567068333333,-95.31793548333333,311,480,203,2300,216253.32,55302,-107,-12,-75,10,2300,203,-12,-107,-74,2300,202,-19,-115,-88,
02/04/25 15:14:47,38.91567065,-95.31793531666666,311,480,203,2300,216253.32,55302,-107,-12,-74,10,2300,203,-13,-106,-73,
02/04/25 15:14:51,38.91567068333333,-95.31793528333333,311,480,203,2300,216253.32,55302,-107,-12,-74,10,2300,203,-12,-107,-74,
02/04/25 15:14:54,38.915670633333335,-95.3179352,311,480,203,2300,216253.32,55302,-107,-14,-73,9,2300,203,-14,-107,-73,
02/04/25 15:14:58,38.91567061666667,-95.31793511666666,311,480,203,2300,216253.32,55302,-107,-14,-73,10,2300,203,-14,-107,-73,
02/04/25 15:15:01,38.91567048333334,-95.31793501666667,311,480,203,2300,216253.32,55302,-107,-16,-70,8,2300,203,-16,-107,-70,
02/04/25 15:15:04,38.91567046666667,-95.31793508333334,311,480,203,2300,216253.32,55302,-107,-13,-74,10,2300,203,-13,-107,-74,
02/04/25 15:15:07,38.91567046666667,-95.31793508333334,311,480,203,2300,216253.32,55302,-107,-16,-70,10,2300,203,-16,-106,-69,
02/04/25 15:15:10,38.91567045,-95.31793503333333,311,480,203,2300,216253.32,55302,-108,-12,-75,9,2300,203,-12,-108,-75,2300,332,-15,-110,-86,2300,202,-20,-115,-86,
02/04/25 15:15:13,38.915670416666664,-95.31793506666666,311,480,203,2300,216253.32,55302,-107,-13,-74,8,2300,203,-13,-107,-74,2300,332,-15,-109,-86,2300,202,-20,-116,-86,
02/04/25 15:15:16,38.9156704,-95.31793501666667,311,480,203,2300,216253.32,55302,-107,-14,-73,10,2300,203,-11,-106,-75,
02/04/25 15:15:22,38.91567045,-95.31793496666667,311,480,203,2300,216253.32,55302,-106,-11,-75,11,2300,203,-11,-106,-75,
02/04/25 15:15:25,38.915670416666664,-95.31793488333334,311,480,203,2300,216253.32,55302,-106,-12,-73,10,2300,203,-12,-107,-74,
02/04/25 15:15:28,38.915670383333335,-95.31793485,311,480,203,2300,216253.32,55302,-106,-10,-75,11,2300,203,-10,-106,-75,
02/04/25 15:15:31,38.91567036666667,-95.3179349,311,480,203,2300,216253.32,55302,-105,-13,-72,9,2300,203,-13,-105,-72,
02/04/25 15:15:34,38.91567031666666,-95.31793488333334,311,480,203,2300,216253.32,55302,-105,-14,-71,10,2300,203,-14,-106,-71,
02/04/25 15:15:37,38.9156703,-95.3179348,311,480,203,2300,216253.32,55302,-104,-13,-71,10,2300,203,-13,-104,-71,
02/04/25 15:15:40,38.91567025,-95.31793485,311,480,203,2300,216253.32,55302,-105,-12,-73,10,2300,203,-12,-105,-73,
02/04/25 15:15:43,38.91567025,-95.31793488333334,311,480,203,2300,216253.32,55302,-107,-13,-74,9,2300,203,-13,-107,-76,2300,202,-19,-114,-87,
02/04/25 15:15:48,38.91567025,-95.31793488333334,311,480,203,2300,216253.32,55302,-107,-16,-71,10,2300,203,-16,-107,-71,2300,202,-20,-122,-84,
02/04/25 15:15:51,38.91567023333333,-95.31793491666667,311,480,203,2300,216253.32,55302,-106,-14,-71,9,2300,203,-12,-107,-74,2300,202,-20,-113,-84,
02/04/25 15:15:54,38.91567018333333,-95.317935,311,480,203,2300,216253.32,55302,-106,-13,-73,10,2300,203,-13,-106,-73,2300,202,-20,-116,-84,
02/04/25 15:15:58,38.9156702,-95.31793486666666,311,480,203,2300,216253.32,55302,-104,-12,-72,10,2300,203,-12,-104,-72,
02/04/25 15:16:01,38.91567018333333,-95.31793491666667,311,480,203,2300,216253.32,55302,-105,-13,-71,10,2300,203,-13,-105,-71,
02/04/25 15:16:04,38.91567011666667,-95.31793488333334,311,480,203,2300,216253.32,55302,-105,-15,-70,10,2300,203,-15,-105,-70,
02/04/25 15:16:07,38.91567011666667,-95.3179349,311,480,203,2300,216253.32,55302,-105,-12,-73,11,2300,203,-12,-105,-73,
02/04/25 15:16:10,38.91567011666667,-95.31793488333334,311,480,203,2300,216253.32,55302,-108,-13,-74,10,2300,203,-13,-108,-74,
02/04/25 15:16:13,38.915670033333335,-95.31793478333333,311,480,203,2300,216253.32,55302,-107,-12,-74,11,2300,203,-12,-107,-74,
